Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of_protein_abundance_Top3-method,log10_%_abundance
Q88CM3,Q88CM3_PSEPK,Pp_5157,Solute-binding protein family 3/N-terminal domain-containing protein,PP_0812_15,R2,64130.4,0.001573061,-2.803254508
Q88CM3,Q88CM3_PSEPK,Pp_5157,Solute-binding protein family 3/N-terminal domain-containing protein,PP_0812_15,R3,55975.93333,0.001520734,-2.817946822
Q88CM4,Q88CM4_PSEPK,Pp_5156,DUF4399 domain-containing protein,PP_0812_15,R1,1347557,0.030824326,-1.511106417
Q88CM4,Q88CM4_PSEPK,Pp_5156,DUF4399 domain-containing protein,PP_0812_15,R2,1678055.333,0.04116118,-1.385512179
Q88CM4,Q88CM4_PSEPK,Pp_5156,DUF4399 domain-containing protein,PP_0812_15,R3,1272571.667,0.034572763,-1.461265916
Q88CM5,Q88CM5_PSEPK,Sera,D-3-phosphoglycerate dehydrogenase,PP_0812_15,R1,7876666.667,0.180172666,-0.744311094
Q88CM5,Q88CM5_PSEPK,Sera,D-3-phosphoglycerate dehydrogenase,PP_0812_15,R2,6613333.333,0.162219088,-0.789898043
Q88CM5,Q88CM5_PSEPK,Sera,D-3-phosphoglycerate dehydrogenase,PP_0812_15,R3,7196666.667,0.195516414,-0.708816778
Q88CM6,Q88CM6_PSEPK,Pp_5154,"Oxidoreductase, FAD-binding",PP_0812_15,R1,349366.0333,0.007991478,-2.097372882
Q88CM6,Q88CM6_PSEPK,Pp_5154,"Oxidoreductase, FAD-binding",PP_0812_15,R2,297878.4,0.007306688,-2.136279444
Q88CM6,Q88CM6_PSEPK,Pp_5154,"Oxidoreductase, FAD-binding",PP_0812_15,R3,276647.6,0.007515861,-2.124021258
Q88CM7,Q88CM7_PSEPK,Ycgm,Isomerase/hydrolase,PP_0812_15,R1,1293333.333,0.029584001,-1.52894309
Q88CM7,Q88CM7_PSEPK,Ycgm,Isomerase/hydrolase,PP_0812_15,R2,1044577,0.02562253,-1.591377997
Q88CM7,Q88CM7_PSEPK,Ycgm,Isomerase/hydrolase,PP_0812_15,R3,961909.3333,0.026132802,-1.582814027
Q88CN0,RPIA_PSEPK,Rpia,Ribose-5-phosphate isomerase A,PP_0812_15,R1,1443485.7,0.033018621,-1.481241075
Q88CN0,RPIA_PSEPK,Rpia,Ribose-5-phosphate isomerase A,PP_0812_15,R2,1441374.033,0.035355602,-1.451541763
Q88CN0,RPIA_PSEPK,Rpia,Ribose-5-phosphate isomerase A,PP_0812_15,R3,1158987.967,0.031486962,-1.501869239
Q88CN1,Q88CN1_PSEPK,Ilva-ii,L-threonine dehydratase,PP_0812_15,R1,1966812.333,0.044989313,-1.346890638
Q88CN1,Q88CN1_PSEPK,Ilva-ii,L-threonine dehydratase,PP_0812_15,R2,1763168.333,0.043248925,-1.364024679
Q88CN1,Q88CN1_PSEPK,Ilva-ii,L-threonine dehydratase,PP_0812_15,R3,1813339.333,0.049264141,-1.307469083
Q88CN4,RPPH_PSEPK,Rpph,RNA pyrophosphohydrolase,PP_0812_15,R1,12442.1,0.000284603,-3.545759874
Q88CN4,RPPH_PSEPK,Rpph,RNA pyrophosphohydrolase,PP_0812_15,R2,12320.1,0.000302201,-3.519704224
Q88CN4,RPPH_PSEPK,Rpph,RNA pyrophosphohydrolase,PP_0812_15,R3,16296.9,0.000442748,-3.353843165
Q88CN5,Q88CN5_PSEPK,Ptsp,phosphoenolpyruvate--protein phosphotransferase,PP_0812_15,R1,2696666.667,0.061684167,-1.209826294
Q88CN5,Q88CN5_PSEPK,Ptsp,phosphoenolpyruvate--protein phosphotransferase,PP_0812_15,R2,4114106.7,0.100915318,-0.996042906
Q88CN5,Q88CN5_PSEPK,Ptsp,phosphoenolpyruvate--protein phosphotransferase,PP_0812_15,R3,3610000,0.098075163,-1.008440964
Q88CN9,TYSY_PSEPK,Thya,Thymidylate synthase,PP_0812_15,R1,213957.7333,0.004894118,-2.310325573
Q88CN9,TYSY_PSEPK,Thya,Thymidylate synthase,PP_0812_15,R2,348759.3333,0.008554751,-2.067792618
Q88CN9,TYSY_PSEPK,Thya,Thymidylate synthase,PP_0812_15,R3,298613.3,0.008112617,-2.090839018
Q88CP1,Q88CP1_PSEPK,Cada-iii,Cadmium translocating P-type ATPase,PP_0812_15,R1,389786.3333,0.008916061,-2.049826953
Q88CP1,Q88CP1_PSEPK,Cada-iii,Cadmium translocating P-type ATPase,PP_0812_15,R2,152288.7333,0.003735505,-2.427650682
Q88CP1,Q88CP1_PSEPK,Cada-iii,Cadmium translocating P-type ATPase,PP_0812_15,R3,443048.9667,0.012036593,-1.919496437
Q88CQ2,ILVD_PSEPK,Ilvd,Dihydroxy-acid dehydratase,PP_0812_15,R1,5181628.067,0.11852574,-0.926187325
Q88CQ2,ILVD_PSEPK,Ilvd,Dihydroxy-acid dehydratase,PP_0812_15,R2,5050753.033,0.123890406,-0.906962323
Q88CQ2,ILVD_PSEPK,Ilvd,Dihydroxy-acid dehydratase,PP_0812_15,R3,4296794.933,0.116733757,-0.932803538
Q88CQ3,Q88CQ3_PSEPK,Rlmi,Ribosomal RNA large subunit methyltransferase I,PP_0812_15,R1,2021628.067,0.046243181,-1.334952303
Q88CQ3,Q88CQ3_PSEPK,Rlmi,Ribosomal RNA large subunit methyltransferase I,PP_0812_15,R2,2413426,0.059199158,-1.227684469
Q88CQ3,Q88CQ3_PSEPK,Rlmi,Ribosomal RNA large subunit methyltransferase I,PP_0812_15,R3,2738765.633,0.074405785,-1.128393296
Q88CQ4,Q88CQ4_PSEPK,Pp_5126,HDOD domain-containing protein,PP_0812_15,R1,23278.46667,0.000532477,-3.273699191
Q88CQ4,Q88CQ4_PSEPK,Pp_5126,HDOD domain-containing protein,PP_0812_15,R2,196805.4,0.004827459,-2.316281446
Q88CQ4,Q88CQ4_PSEPK,Pp_5126,HDOD domain-containing protein,PP_0812_15,R3,16296.9,0.000442748,-3.353843165
Q88CQ5,FPG_PSEPK,Mutm,Formamidopyrimidine-DNA glycosylase,PP_0812_15,R1,297483.7333,0.006804711,-2.167190338
Q88CQ5,FPG_PSEPK,Mutm,Formamidopyrimidine-DNA glycosylase,PP_0812_15,R2,208480.0667,0.005113828,-2.291253919
Q88CQ5,FPG_PSEPK,Mutm,Formamidopyrimidine-DNA glycosylase,PP_0812_15,R3,16296.9,0.000442748,-3.353843165
Q88CQ7,COAD_PSEPK,Coad,Phosphopantetheine adenylyltransferase,PP_0812_15,R1,2218490.367,0.050746254,-1.294596014
Q88CQ7,COAD_PSEPK,Coad,Phosphopantetheine adenylyltransferase,PP_0812_15,R2,2530773.367,0.062077583,-1.207065201
Q88CQ7,COAD_PSEPK,Coad,Phosphopantetheine adenylyltransferase,PP_0812_15,R3,1952349.667,0.053040723,-1.275390563
Q88CR0,Q88CR0_PSEPK,Calb,Aldehyde dehydrogenase,PP_0812_15,R1,1002255.7,0.022925825,-1.639675026
Q88CR0,Q88CR0_PSEPK,Calb,Aldehyde dehydrogenase,PP_0812_15,R2,1117440.033,0.027409794,-1.56209423
Q88CR0,Q88CR0_PSEPK,Calb,Aldehyde dehydrogenase,PP_0812_15,R3,760864.6,0.020670892,-1.684640787
Q88CR2,Q88CR2_PSEPK,Ssea,3-mercaptopyruvate sulfurtransferase,PP_0812_15,R1,1778788.367,0.04068841,-1.390529281
Q88CR2,Q88CR2_PSEPK,Ssea,3-mercaptopyruvate sulfurtransferase,PP_0812_15,R2,2490591.033,0.061091947,-1.214016036
Q88CR2,Q88CR2_PSEPK,Ssea,3-mercaptopyruvate sulfurtransferase,PP_0812_15,R3,2123192.333,0.057682114,-1.238958828
Q88CR6,Q88CR6_PSEPK,Pp_5114,Ribosomal RNA small subunit methyltransferase D,PP_0812_15,R1,564705.1667,0.012917195,-1.8888318
Q88CR6,Q88CR6_PSEPK,Pp_5114,Ribosomal RNA small subunit methyltransferase D,PP_0812_15,R2,402320.1,0.009868548,-2.005746726
Q88CR6,Q88CR6_PSEPK,Pp_5114,Ribosomal RNA small subunit methyltransferase D,PP_0812_15,R3,312265.3,0.00848351,-2.071424439
Q88CR7,Q88CR7_PSEPK,Pp_5113,Predicted Zn-dependent peptidases,PP_0812_15,R1,199338.4,0.004559712,-2.341062593
Q88CR7,Q88CR7_PSEPK,Pp_5113,Predicted Zn-dependent peptidases,PP_0812_15,R2,311254.0667,0.007634781,-2.117203422
Q88CR7,Q88CR7_PSEPK,Pp_5113,Predicted Zn-dependent peptidases,PP_0812_15,R3,206217.6,0.005602444,-2.251622437
Q88CR8,Q88CR8_PSEPK,Pp_5112,Processin peptidase,PP_0812_15,R1,884147.3667,0.020224188,-1.694128903
Q88CR8,Q88CR8_PSEPK,Pp_5112,Processin peptidase,PP_0812_15,R2,974106.7,0.023893957,-1.621711926
Q88CR8,Q88CR8_PSEPK,Pp_5112,Processin peptidase,PP_0812_15,R3,1135432.3,0.03084701,-1.510786921
Q88CR9,Q88CR9_PSEPK,Ftsy,Signal recognition particle receptor FtsY,PP_0812_15,R1,2303333.333,0.052686971,-1.278296768
Q88CR9,Q88CR9_PSEPK,Ftsy,Signal recognition particle receptor FtsY,PP_0812_15,R2,2166666.667,0.053146375,-1.274526355
Q88CR9,Q88CR9_PSEPK,Ftsy,Signal recognition particle receptor FtsY,PP_0812_15,R3,1853333.333,0.050350684,-1.297994629
Q88CS0,Q88CS0_PSEPK,Ftse,Cell division ATP-binding protein FtsE,PP_0812_15,R1,877480.7,0.020071693,-1.697415988
Q88CS0,Q88CS0_PSEPK,Ftse,Cell division ATP-binding protein FtsE,PP_0812_15,R2,281764.7333,0.006911434,-2.160431822
Q88CS0,Q88CS0_PSEPK,Ftse,Cell division ATP-binding protein FtsE,PP_0812_15,R3,279286.2667,0.007587547,-2.119898585
Q88CS1,Q88CS1_PSEPK,Ftsx,Cell division protein FtsX,PP_0812_15,R1,375046.0333,0.008578888,-2.066568985
Q88CS1,Q88CS1_PSEPK,Ftsx,Cell division protein FtsX,PP_0812_15,R2,240307.4,0.005894523,-2.229551312
Q88CS1,Q88CS1_PSEPK,Ftsx,Cell division protein FtsX,PP_0812_15,R3,293579.3,0.007975855,-2.098222735
Q88CS6,THIG_PSEPK,Thig,Thiazole synthase,PP_0812_15,R1,1673333.333,0.038276208,-1.417071099
Q88CS6,THIG_PSEPK,Thig,Thiazole synthase,PP_0812_15,R2,1966666.667,0.048240556,-1.3165877
Q88CS6,THIG_PSEPK,Thig,Thiazole synthase,PP_0812_15,R3,1770000,0.048086714,-1.317974899
Q88CS7,TRMB_PSEPK,Trmb,tRNA (guanine-N(7)-)-methyltransferase,PP_0812_15,R1,657878.7,0.015048467,-1.822507736
Q88CS7,TRMB_PSEPK,Trmb,tRNA (guanine-N(7)-)-methyltransferase,PP_0812_15,R2,745518.7,0.0182869,-1.737859915
Q88CS7,TRMB_PSEPK,Trmb,tRNA (guanine-N(7)-)-methyltransferase,PP_0812_15,R3,596595.7,0.016208094,-1.790268047
Q88CT1,Q88CT1_PSEPK,Pp_5099,DUF4426 domain-containing protein,PP_0812_15,R1,12442.1,0.000284603,-3.545759874
Q88CT1,Q88CT1_PSEPK,Pp_5099,DUF4426 domain-containing protein,PP_0812_15,R2,12320.1,0.000302201,-3.519704224
Q88CT1,Q88CT1_PSEPK,Pp_5099,DUF4426 domain-containing protein,PP_0812_15,R3,107452.6,0.002919233,-2.534731237
Q88CT2,Q88CT2_PSEPK,Metw,Methionine biosynthesis protein MetW,PP_0812_15,R1,16589.46667,0.000379471,-3.420821137
Q88CT2,Q88CT2_PSEPK,Metw,Methionine biosynthesis protein MetW,PP_0812_15,R2,739155.3667,0.018130813,-1.741582722
Q88CT2,Q88CT2_PSEPK,Metw,Methionine biosynthesis protein MetW,PP_0812_15,R3,21729.2,0.000590331,-3.228904428
Q88CT5,Q88CT5_PSEPK,Proi,Pyrroline-5-carboxylate reductase,PP_0812_15,R1,2896666.667,0.066259013,-1.178755039
Q88CT5,Q88CT5_PSEPK,Proi,Pyrroline-5-carboxylate reductase,PP_0812_15,R2,2720000,0.066719141,-1.175749553
Q88CT5,Q88CT5_PSEPK,Proi,Pyrroline-5-carboxylate reductase,PP_0812_15,R3,1870000,0.050803478,-1.294106559
Q88CU0,Q88CU0_PSEPK,Pp_5090,Cell division protein,PP_0812_15,R1,751014.6667,0.01717888,-1.765005143
Q88CU0,Q88CU0_PSEPK,Pp_5090,Cell division protein,PP_0812_15,R2,953827.3333,0.023396522,-1.630848693
Q88CU0,Q88CU0_PSEPK,Pp_5090,Cell division protein,PP_0812_15,R3,958075,0.026028632,-1.584548658
Q88CU1,SYR_PSEPK,Args,Arginine--tRNA ligase,PP_0812_15,R1,5134147.367,0.117439656,-0.930185231
Q88CU1,SYR_PSEPK,Args,Arginine--tRNA ligase,PP_0812_15,R2,5320773.367,0.130513761,-0.884343696
Q88CU1,SYR_PSEPK,Args,Arginine--tRNA ligase,PP_0812_15,R3,5394059.333,0.146543835,-0.834032446
Q88CU3,RL31_PSEPK,Rpme,Large ribosomal subunit protein bL31,PP_0812_15,R1,489509.0333,0.011197141,-1.95089285
Q88CU3,RL31_PSEPK,Rpme,Large ribosomal subunit protein bL31,PP_0812_15,R2,651570.0333,0.015982424,-1.796357354
Q88CU3,RL31_PSEPK,Rpme,Large ribosomal subunit protein bL31,PP_0812_15,R3,658270.3,0.017883647,-1.747543904
Q88CU5,Q88CU5_PSEPK,Maeb,Malic enzyme B,PP_0812_15,R1,14218850.03,0.325245212,-0.487789087
Q88CU5,Q88CU5_PSEPK,Maeb,Malic enzyme B,PP_0812_15,R2,18409616.67,0.451571255,-0.345273711
Q88CU5,Q88CU5_PSEPK,Maeb,Malic enzyme B,PP_0812_15,R3,17972098.97,0.488259426,-0.311349364
Q88CU6,Q88CU6_PSEPK,Mrca,Penicillin-binding protein 1A,PP_0812_15,R1,1171987,0.026808297,-1.571730767
Q88CU6,Q88CU6_PSEPK,Mrca,Penicillin-binding protein 1A,PP_0812_15,R2,1033963.333,0.025362186,-1.595813319
Q88CU6,Q88CU6_PSEPK,Mrca,Penicillin-binding protein 1A,PP_0812_15,R3,1270520.333,0.034517033,-1.461966546
Q88CV1,AROK_PSEPK,Arok,Shikimate kinase,PP_0812_15,R1,498170.7,0.01139527,-1.94327538
Q88CV1,AROK_PSEPK,Arok,Shikimate kinase,PP_0812_15,R2,662222.0333,0.016243708,-1.78931483
Q88CV1,AROK_PSEPK,Arok,Shikimate kinase,PP_0812_15,R3,362083.2667,0.009836946,-2.007139711
Q88CV2,AROB_PSEPK,Arob,3-dehydroquinate synthase,PP_0812_15,R1,2184458.667,0.049967805,-1.30130973
Q88CV2,AROB_PSEPK,Arob,3-dehydroquinate synthase,PP_0812_15,R2,1971087,0.048348982,-1.315612663
Q88CV2,AROB_PSEPK,Arob,3-dehydroquinate synthase,PP_0812_15,R3,1578547.3,0.042885397,-1.367690566
Q88CV3,Q88CV3_PSEPK,Pp_5077,SPOR domain-containing protein,PP_0812_15,R1,1586089.333,0.036280568,-1.440325917
Q88CV3,Q88CV3_PSEPK,Pp_5077,SPOR domain-containing protein,PP_0812_15,R2,1285633.033,0.031535416,-1.501201434
Q88CV3,Q88CV3_PSEPK,Pp_5077,SPOR domain-containing protein,PP_0812_15,R3,979752,0.026617545,-1.574832007
Q88CV4,Q88CV4_PSEPK,Gltb,L-glutamate synthase(NADPH) alpha subunit,PP_0812_15,R1,5500814.033,0.125826872,-0.900226598
Q88CV4,Q88CV4_PSEPK,Gltb,L-glutamate synthase(NADPH) alpha subunit,PP_0812_15,R2,5277718,0.129457652,-0.887872275
Q88CV4,Q88CV4_PSEPK,Gltb,L-glutamate synthase(NADPH) alpha subunit,PP_0812_15,R3,3434447.3,0.093305811,-1.030091309
Q88CV5,Q88CV5_PSEPK,Gltd,Glutamate synthase (NADPH) beta subunit,PP_0812_15,R1,2874147.367,0.065743901,-1.182144529
Q88CV5,Q88CV5_PSEPK,Gltd,Glutamate synthase (NADPH) beta subunit,PP_0812_15,R2,1362320.1,0.033416481,-1.476039292
Q88CV5,Q88CV5_PSEPK,Gltd,Glutamate synthase (NADPH) beta subunit,PP_0812_15,R3,2545432.3,0.069153376,-1.160186615
Q88CV6,DCUP_PSEPK,Heme,Uroporphyrinogen decarboxylase,PP_0812_15,R1,1245746.333,0.028495485,-1.545223944
Q88CV6,DCUP_PSEPK,Heme,Uroporphyrinogen decarboxylase,PP_0812_15,R2,626627.7667,0.015370613,-1.813308821
Q88CV6,DCUP_PSEPK,Heme,Uroporphyrinogen decarboxylase,PP_0812_15,R3,477531.2667,0.012973395,-1.886946353
Q88CW1,Q88CW1_PSEPK,Trxc,Thioredoxin 2,PP_0812_15,R1,443911.7,0.010154137,-1.993356969
Q88CW1,Q88CW1_PSEPK,Trxc,Thioredoxin 2,PP_0812_15,R2,12320.1,0.000302201,-3.519704224
Q88CW1,Q88CW1_PSEPK,Trxc,Thioredoxin 2,PP_0812_15,R3,87073.26667,0.002365575,-2.626063328
Q88CW2,SELO_PSEPK,Selo,Protein adenylyltransferase SelO,PP_0812_15,R1,36163.06667,0.000827202,-3.082388309
Q88CW2,SELO_PSEPK,Selo,Protein adenylyltransferase SelO,PP_0812_15,R2,73055.73333,0.001791991,-2.746664152
Q88CW2,SELO_PSEPK,Selo,Protein adenylyltransferase SelO,PP_0812_15,R3,47654.93333,0.001294672,-2.887840299
Q88CW3,Q88CW3_PSEPK,Kefa,"Mechanosensitive channel protein, intermediate (Smaller, MscS-like) conductance, K+ efflux",PP_0812_15,R1,344531.3333,0.007880888,-2.103424836
Q88CW3,Q88CW3_PSEPK,Kefa,"Mechanosensitive channel protein, intermediate (Smaller, MscS-like) conductance, K+ efflux",PP_0812_15,R2,464896.3333,0.011403487,-1.942962336
Q88CW3,Q88CW3_PSEPK,Kefa,"Mechanosensitive channel protein, intermediate (Smaller, MscS-like) conductance, K+ efflux",PP_0812_15,R3,424464.6333,0.0115317,-1.938106655
Q88CW6,BETA_PSEPK,Beta,Oxygen-dependent choline dehydrogenase,PP_0812_15,R1,892582.0333,0.020417125,-1.69000542
Q88CW6,BETA_PSEPK,Beta,Oxygen-dependent choline dehydrogenase,PP_0812_15,R2,508347.0667,0.012469294,-1.904158135
Q88CW6,BETA_PSEPK,Beta,Oxygen-dependent choline dehydrogenase,PP_0812_15,R3,635210.9333,0.017257179,-1.763030201
Q88CW7,BETB_PSEPK,Betb,Betaine aldehyde dehydrogenase,PP_0812_15,R1,767480.7,0.017555528,-1.755586098
Q88CW7,BETB_PSEPK,Betb,Betaine aldehyde dehydrogenase,PP_0812_15,R2,358986.7667,0.008805621,-2.055240017
Q88CW7,BETB_PSEPK,Betb,Betaine aldehyde dehydrogenase,PP_0812_15,R3,1245237.633,0.033830162,-1.470695928
Q88CX2,Q88CX2_PSEPK,Ctpa,Carboxy-terminal-processing protease,PP_0812_15,R1,1307480.7,0.029907611,-1.524218274
Q88CX2,Q88CX2_PSEPK,Ctpa,Carboxy-terminal-processing protease,PP_0812_15,R2,2096666.667,0.051429338,-1.288789066
Q88CX2,Q88CX2_PSEPK,Ctpa,Carboxy-terminal-processing protease,PP_0812_15,R3,2226666.667,0.060493267,-1.218292958
Q88CX3,Q88CX3_PSEPK,Pp_5057,"Peptidase, M23/M37 family",PP_0812_15,R1,18344.76667,0.000419622,-3.377141369
Q88CX3,Q88CX3_PSEPK,Pp_5057,"Peptidase, M23/M37 family",PP_0812_15,R2,20332,0.000498726,-3.302138356
Q88CX3,Q88CX3_PSEPK,Pp_5057,"Peptidase, M23/M37 family",PP_0812_15,R3,618332.8,0.01679864,-1.774725881
Q88CX4,GPMI_PSEPK,Gpmi,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",PP_0812_15,R1,2826666.667,0.064657817,-1.189378964
Q88CX4,GPMI_PSEPK,Gpmi,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",PP_0812_15,R2,3023333.333,0.074159634,-1.129832424
Q88CX4,GPMI_PSEPK,Gpmi,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",PP_0812_15,R3,2600000,0.070635851,-1.150974817
Q88CX5,Q88CX5_PSEPK,Pp_5055,Sulfurtransferase,PP_0812_15,R1,1072000.033,0.024521173,-1.610458762
Q88CX5,Q88CX5_PSEPK,Pp_5055,Sulfurtransferase,PP_0812_15,R2,903892.3667,0.022171663,-1.654201738
Q88CX5,Q88CX5_PSEPK,Pp_5055,Sulfurtransferase,PP_0812_15,R3,668730.3,0.018167821,-1.740697164
Q88CX7,SECB_PSEPK,Secb,Protein-export protein SecB,PP_0812_15,R1,5226931.667,0.119562025,-0.922406739
Q88CX7,SECB_PSEPK,Secb,Protein-export protein SecB,PP_0812_15,R2,5537941.667,0.135840703,-0.86697008
Q88CX7,SECB_PSEPK,Secb,Protein-export protein SecB,PP_0812_15,R3,4110854.667,0.111682199,-0.952016042
Q88CY1,Q88CY1_PSEPK,Glng,DNA-binding transcriptional regulator NtrC,PP_0812_15,R1,2486666.667,0.056880579,-1.245035988
Q88CY1,Q88CY1_PSEPK,Glng,DNA-binding transcriptional regulator NtrC,PP_0812_15,R2,2976666.667,0.073014943,-1.136588252
Q88CY1,Q88CY1_PSEPK,Glng,DNA-binding transcriptional regulator NtrC,PP_0812_15,R3,4070000,0.110572275,-0.956353756
Q88CY2,Q88CY2_PSEPK,Glnl,Sensory histidine kinase/phosphatase NtrB,PP_0812_15,R1,1018884,0.023306185,-1.632528819
Q88CY2,Q88CY2_PSEPK,Glnl,Sensory histidine kinase/phosphatase NtrB,PP_0812_15,R2,1029192.667,0.025245166,-1.597821773
Q88CY2,Q88CY2_PSEPK,Glnl,Sensory histidine kinase/phosphatase NtrB,PP_0812_15,R3,912098.9667,0.024779572,-1.605906202
Q88CY3,Q88CY3_PSEPK,Glna,Glutamine synthetase,PP_0812_15,R1,21810000,0.498886905,-0.301997896
Q88CY3,Q88CY3_PSEPK,Glna,Glutamine synthetase,PP_0812_15,R2,18103333.33,0.444058402,-0.352559908
Q88CY3,Q88CY3_PSEPK,Glna,Glutamine synthetase,PP_0812_15,R3,25990000,0.706086835,-0.151141886
Q88CY4,THII_PSEPK,Thii,tRNA sulfurtransferase,PP_0812_15,R1,368347.7,0.008425669,-2.074395599
Q88CY4,THII_PSEPK,Thii,tRNA sulfurtransferase,PP_0812_15,R2,397425.7,0.009748493,-2.011062509
Q88CY4,THII_PSEPK,Thii,tRNA sulfurtransferase,PP_0812_15,R3,326631.3,0.0088738,-2.051890366
Q88CY5,Q88CY5_PSEPK,Typa,Large ribosomal subunit assembly factor BipA,PP_0812_15,R1,10174147.37,0.232725763,-0.633155537
Q88CY5,Q88CY5_PSEPK,Typa,Large ribosomal subunit assembly factor BipA,PP_0812_15,R2,7920773.367,0.194289411,-0.711550869
Q88CY5,Q88CY5_PSEPK,Typa,Large ribosomal subunit assembly factor BipA,PP_0812_15,R3,7935432.3,0.215586929,-0.666377575
Q88CY8,Q88CY8_PSEPK,Glgp,"Alpha-1,4 glucan phosphorylase",PP_0812_15,R1,2230814.033,0.051028148,-1.292190193
Q88CY8,Q88CY8_PSEPK,Glgp,"Alpha-1,4 glucan phosphorylase",PP_0812_15,R2,2703333.333,0.066310323,-1.178418857
Q88CY8,Q88CY8_PSEPK,Glgp,"Alpha-1,4 glucan phosphorylase",PP_0812_15,R3,3025432.3,0.082193841,-1.085160726
Q88CY9,F16PA_PSEPK,Fbp,"Fructose-1,6-bisphosphatase class 1",PP_0812_15,R1,2446666.667,0.05596561,-1.252078756
Q88CY9,F16PA_PSEPK,Fbp,"Fructose-1,6-bisphosphatase class 1",PP_0812_15,R2,2796666.667,0.068599705,-1.16367775
Q88CY9,F16PA_PSEPK,Fbp,"Fructose-1,6-bisphosphatase class 1",PP_0812_15,R3,2252098.967,0.061184203,-1.213360694
Q88CZ0,Q88CZ0_PSEPK,Pp_5039,DUF924 domain-containing protein,PP_0812_15,R1,417477.6667,0.009549479,-2.020020314
Q88CZ0,Q88CZ0_PSEPK,Pp_5039,DUF924 domain-containing protein,PP_0812_15,R2,207677.7,0.005094146,-2.292928591
Q88CZ0,Q88CZ0_PSEPK,Pp_5039,DUF924 domain-containing protein,PP_0812_15,R3,136361.9667,0.003704632,-2.431254909
Q88CZ4,Q88CZ4_PSEPK,Hutc,Histidine utilization repressor,PP_0812_15,R1,192645.4,0.004406615,-2.355894918
Q88CZ4,Q88CZ4_PSEPK,Hutc,Histidine utilization repressor,PP_0812_15,R2,511546.7333,0.012547779,-1.901433141
Q88CZ4,Q88CZ4_PSEPK,Hutc,Histidine utilization repressor,PP_0812_15,R3,16296.9,0.000442748,-3.353843165
Q88D01,Q88D01_PSEPK,Pip,Proline iminopeptidase,PP_0812_15,R1,501599.4,0.011473699,-1.940296553
Q88D01,Q88D01_PSEPK,Pip,Proline iminopeptidase,PP_0812_15,R2,1003599.033,0.024617377,-1.608758222
Q88D01,Q88D01_PSEPK,Pip,Proline iminopeptidase,PP_0812_15,R3,660912.2667,0.017955423,-1.745804353
Q88D03,OPGG_PSEPK,Opgg,Glucans biosynthesis protein G,PP_0812_15,R1,1372260.367,0.031389396,-1.503217041
Q88D03,OPGG_PSEPK,Opgg,Glucans biosynthesis protein G,PP_0812_15,R2,1457003.033,0.035738967,-1.446858001
Q88D03,OPGG_PSEPK,Opgg,Glucans biosynthesis protein G,PP_0812_15,R3,1455761.967,0.03954961,-1.402857797
Q88D04,OPGH_PSEPK,Opgh,Glucans biosynthesis glucosyltransferase H,PP_0812_15,R1,577840.6667,0.013217659,-1.878845458
Q88D04,OPGH_PSEPK,Opgh,Glucans biosynthesis glucosyltransferase H,PP_0812_15,R2,548436.0333,0.01345264,-1.871192475
Q88D04,OPGH_PSEPK,Opgh,Glucans biosynthesis glucosyltransferase H,PP_0812_15,R3,787928.3333,0.021406149,-1.669461448
Q88D05,Q88D05_PSEPK,Pp_5024,"Amino acid ABC transporter, periplasmic amino acid-binding protein",PP_0812_15,R1,1372677.367,0.031398935,-1.503085088
Q88D05,Q88D05_PSEPK,Pp_5024,"Amino acid ABC transporter, periplasmic amino acid-binding protein",PP_0812_15,R2,1249178.367,0.030641216,-1.513694002
Q88D05,Q88D05_PSEPK,Pp_5024,"Amino acid ABC transporter, periplasmic amino acid-binding protein",PP_0812_15,R3,1082303.3,0.029403621,-1.531599183
Q88D06,Q88D06_PSEPK,Pp_5023,"Amino acid ABC transporter, permease protein",PP_0812_15,R1,460646.3333,0.010536929,-1.977285943
Q88D06,Q88D06_PSEPK,Pp_5023,"Amino acid ABC transporter, permease protein",PP_0812_15,R2,290119.3333,0.007116365,-2.147741786
Q88D06,Q88D06_PSEPK,Pp_5023,"Amino acid ABC transporter, permease protein",PP_0812_15,R3,176183.3,0.004786484,-2.319983425
Q88D09,MCPQ_PSEPK,Mcpq,Methyl-accepting chemotaxis protein McpQ,PP_0812_15,R1,229535.4,0.005250445,-2.279803887
Q88D09,MCPQ_PSEPK,Mcpq,Methyl-accepting chemotaxis protein McpQ,PP_0812_15,R2,12320.1,0.000302201,-3.519704224
Q88D09,MCPQ_PSEPK,Mcpq,Methyl-accepting chemotaxis protein McpQ,PP_0812_15,R3,16296.9,0.000442748,-3.353843165
Q88D15,HIS3_PSEPK,Hisi,Phosphoribosyl-AMP cyclohydrolase,PP_0812_15,R1,639922.8,0.01463774,-1.834525977
Q88D15,HIS3_PSEPK,Hisi,Phosphoribosyl-AMP cyclohydrolase,PP_0812_15,R2,1045653.433,0.025648933,-1.590930689
Q88D15,HIS3_PSEPK,Hisi,Phosphoribosyl-AMP cyclohydrolase,PP_0812_15,R3,892963.5667,0.024259708,-1.615114426
