Protein.Group,Protein.Names,Protein,Protein.Description,%_of protein_abundance_Top3-method,Rank
Q88DD4,Q88DD4_PSEPK,Hflx,GTPase HflX,0.03293682388888888,527.0
Q88DV4,TPIS_PSEPK,Tpia,Triosephosphate isomerase,0.03282346533333333,528.0
Q88E48,Q88E48_PSEPK,Pp_4620,Fumarylacetoacetase,0.03249185933333334,529.0
Q88DU7,GREA_PSEPK,Grea,Transcription elongation factor GreA,0.03237201033333333,530.0
Q88QD0,Q88QD0_PSEPK,Pp_0564,Uncharacterized protein,0.032267028555555556,531.0
Q88QX8,MASZ_PSEPK,Glcb,Malate synthase G,0.032247524666666666,532.0
Q88RQ7,Q88RQ7_PSEPK,Qor-1,Quinone oxidoreductase,0.03208528583333334,533.0
Q88LY9,Q88LY9_PSEPK,Pp_1787,Uncharacterized protein,0.032070851166666664,534.0
Q88FH0,NUOI_PSEPK,Nuoi,NADH-quinone oxidoreductase subunit I,0.032043501333333335,535.0
Q88PI6,Q88PI6_PSEPK,Pp_0864,"Ornithine decarboxylase, putative",0.03204121377777777,536.0
Q88CG4,PPK_PSEPK,Ppk,Polyphosphate kinase,0.031982456166666666,537.0
Q88D35,GSHB_PSEPK,Gshb,Glutathione synthetase,0.031963235944444446,538.0
Q88CY2,Q88CY2_PSEPK,Ntrb,Histidine kinase,0.031826887444444445,539.0
Q88DN7,Q88DN7_PSEPK,Pp_4787,PhoH family protein,0.03181245266666667,540.0
Q88DU9,Q88DU9_PSEPK,Pp_4720,Uncharacterized protein,0.03180421405555556,541.0
Q88RG2,Q88RG2_PSEPK,Pp_0168,"Surface adhesion protein, putative",0.03179143511111111,542.0
Q88QW6,Q88QW6_PSEPK,Pp_0368,"Acyl-CoA dehydrogenase, putative",0.031715945111111116,543.0
Q88N98,Q88N98_PSEPK,Pp_1314,"Oxidoreductase, aldo/keto reductase family",0.03171239794444444,544.0
Q88EW5,CHEB1_PSEPK,Cheb1,Chemotaxis response regulator protein-glutamate methylesterase of group 1 operon,0.031611111222222224,545.0
Q88D93,HLDE_PSEPK,Hlde,Bifunctional protein HldE,0.031551772,546.0
Q88JI7,Q88JI7_PSEPK,Pp_2662,Uncharacterized protein,0.03142308505555555,547.0
Q88DX2,Q88DX2_PSEPK,Pp_4696,Nitrogen regulation protein NR(I),0.03135360833333333,548.0
Q88CX5,Q88CX5_PSEPK,Pp_5055,Rhodanese domain protein,0.031352496388888894,549.0
Q88DC9,Q88DC9_PSEPK,Pp_4898,Uncharacterized protein,0.03127064294444445,550.0
Q88D05,Q88D05_PSEPK,Pp_5024,"Amino acid ABC transporter, periplasmic amino acid-binding protein",0.03126343016666667,551.0
Q88KV0,Q88KV0_PSEPK,Pp_2189,Uncharacterized protein,0.03125264838888889,552.0
Q88Q23,Q88Q23_PSEPK,Gdha,Glutamate dehydrogenase,0.030772035,553.0
Q88CN0,RPIA_PSEPK,Rpia,Ribose-5-phosphate isomerase A,0.03073331622222222,554.0
Q88D83,Q88D83_PSEPK,Pp_4944,"Carbamoyltransferase, NodU family",0.030626899722222226,555.0
Q88BX6,GLMU_PSEPK,Glmu,Bifunctional protein GlmU,0.030472527944444446,556.0
Q88D17,UBIE_PSEPK,Ubie,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE,0.030429237388888888,557.0
Q88P37,Q88P37_PSEPK,Pp_1016,"Sugar ABC transporter, permease protein",0.030345062000000003,558.0
Q88ES4,Q88ES4_PSEPK,Pp_4379,3-oxoacyl-(Acyl-carrier-protein) synthase III,0.030342357555555557,559.0
Q88N30,TTGA_PSEPK,Ttga,Probable efflux pump periplasmic linker TtgA,0.030337933277777777,560.0
Q88PC0,GATB_PSEPK,Gatb,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,0.03017982338888889,561.0
Q88LE1,Q88LE1_PSEPK,Pp_1993,Uncharacterized protein,0.02998946816666667,562.0
Q88EZ5,Q88EZ5_PSEPK,Pp_4305,Periplasmic thiosulfate-binding protein,0.02943757372222222,563.0
Q88QE7,Q88QE7_PSEPK,Mpl,UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase,0.029393265611111108,564.0
Q88I13,Q88I13_PSEPK,Coda,Cytosine deaminase,0.02934689861111111,565.0
Q88R45,HIS7_PSEPK,Hisb,Imidazoleglycerol-phosphate dehydratase,0.02933364388888889,566.0
Q88R90,GSH1_PSEPK,Gsha,Glutamate--cysteine ligase,0.029234271555555556,567.0
Q88QI2,Q88QI2_PSEPK,Trx-1,Thioredoxin,0.02919159161111111,568.0
Q88DL4,PROA_PSEPK,Proa,Gamma-glutamyl phosphate reductase,0.029184503944444447,569.0
Q88Q40,Q88Q40_PSEPK,Pp_0658,Homocysteine S-methyltransferase family protein,0.029101883555555555,570.0
Q88BY9,Q88BY9_PSEPK,Pp_5395,Uncharacterized protein,0.029084197500000002,571.0
Q88K95,Q88K95_PSEPK,Pp_2396,Uncharacterized protein,0.029038878722222224,572.0
Q88QT9,GLPE_PSEPK,Glpe,Thiosulfate sulfurtransferase GlpE,0.02886203588888889,573.0
Q88GF8,Q88GF8_PSEPK,Gloa,Lactoylglutathione lyase,0.028835511833333334,574.0
Q88MY6,Q88MY6_PSEPK,Lepb,Signal peptidase I,0.028773732388888893,575.0
Q88KS2,Q88KS2_PSEPK,Fadb1x,Enoyl-CoA hydratase/isomerase FadB1x,0.02876896238888889,576.0
Q88PG5,Q88PG5_PSEPK,Pp_0885,"Dipeptide ABC transporter, periplasmic peptide-binding protein",0.02872946788888889,577.0
Q88R44,HIS5_PSEPK,Hish,Imidazole glycerol phosphate synthase subunit HisH,0.028689202111111107,578.0
Q88DA8,Q88DA8_PSEPK,Pp_4919,MutT/nudix family protein,0.028494516611111114,579.0
Q88LV1,Q88LV1_PSEPK,Pp_1826,"Hydrolase, isochorismatase family",0.028425672444444446,580.0
Q88N74,DDLB_PSEPK,Ddlb,D-alanine--D-alanine ligase B,0.028357595611111112,581.0
Q88IR3,Q88IR3_PSEPK,Pp_2936,"ABC transporter, ATP-binding protein",0.028351125555555554,582.0
Q88DE5,Q88DE5_PSEPK,Pp_4881,"Iron ABC transporter, periplasmic iron-binding protein, putative",0.02828331388888889,583.0
Q88CV6,DCUP_PSEPK,Heme,Uroporphyrinogen decarboxylase,0.028099871222222222,584.0
Q88FJ1,Q88FJ1_PSEPK,Pp_4104,Glutathione S-transferase family protein,0.02801570622222222,585.0
Q88L24,Q88L24_PSEPK,Acna,Aconitate hydratase,0.027901800666666667,586.0
Q88HH4,Q88HH4_PSEPK,Pp_3384,Uncharacterized protein,0.027838301888888885,587.0
Q88M54,Q88M54_PSEPK,Pp_1720,"Alcohol dehydrogenase, zinc-containing",0.027700770277777776,588.0
Q88E78,Q88E78_PSEPK,Pp_4588,Nitroreductase family protein,0.027670217611111114,589.0
Q88KH0,Q88KH0_PSEPK,Pp_2320,Uncharacterized protein,0.027604038777777777,590.0
Q88C88,Q88C88_PSEPK,Pp_5295,Uncharacterized protein,0.027422022388888887,591.0
Q88KX8,Q88KX8_PSEPK,Pp_2161,Uncharacterized protein,0.027395204555555556,592.0
Q88DP2,Q88DP2_PSEPK,Thid,Phosphomethylpyrimidine kinase,0.0272454035,593.0
Q88PT2,Q88PT2_PSEPK,Pp_0766,Uncharacterized protein,0.027235294333333333,594.0
Q88Q90,Q88Q90_PSEPK,Fkpb,Peptidyl-prolyl cis-trans isomerase,0.027229450166666665,595.0
Q88RK8,Q88RK8_PSEPK,Thrb,Homoserine kinase,0.027174277833333333,596.0
Q88D47,Y4981_PSEPK,Pp_4981,UPF0312 protein PP_4981,0.02713917011111111,597.0
Q88JW9,Q88JW9_PSEPK,Mety,O-acetylhomoserine sulfhydrylase,0.027088781444444446,598.0
Q88MZ5,Q88MZ5_PSEPK,Pp_1423,tRNA-modifying protein YgfZ,0.027077523722222222,599.0
Q88PH8,RF3_PSEPK,Prfc,Peptide chain release factor 3,0.027068777333333335,600.0
Q88EW4,Q88EW4_PSEPK,Chea,Histidine kinase,0.027024652944444442,601.0
Q88RQ6,HEM6_PSEPK,Hemf,Oxygen-dependent coproporphyrinogen-III oxidase,0.02700381061111111,602.0
Q88HH6,Q88HH6_PSEPK,Pp_3382,"Gluconate dehydrogenase cytochrome c subunit, putative",0.026940852055555558,603.0
Q88CK1,Q88CK1_PSEPK,Potg,Polyamine-transporting ATPase,0.026903334555555557,604.0
Q88C96,Q88C96_PSEPK,Coabc,Phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase,0.02687304738888889,605.0
Q88DW7,G6PI2_PSEPK,Pgi2,Glucose-6-phosphate isomerase 2,0.02686941907142857,606.0
Q88CQ3,Q88CQ3_PSEPK,Pp_5127,Uncharacterized protein,0.026838385944444446,607.0
Q88F16,Q88F16_PSEPK,Pp_4283,"Transcriptional regulator, GntR family",0.026772255333333335,608.0
Q88DG3,Q88DG3_PSEPK,Pp_4862,"Oxidoreductase, short chain dehydrogenase/reductase family",0.02672252511111111,609.0
Q88QG7,DXS_PSEPK,Dxs,1-deoxy-D-xylulose-5-phosphate synthase,0.02669837922222222,610.0
Q88J57,Q88J57_PSEPK,Pp_2792,Uncharacterized protein,0.026660945944444445,611.0
Q88LZ2,Q88LZ2_PSEPK,Rmld,dTDP-4-dehydrorhamnose reductase,0.026650128944444445,612.0
Q88HC9,Q88HC9_PSEPK,Pp_3431,ThiJ/PfpI family protein,0.02658267811111111,613.0
Q88KF4,Q88KF4_PSEPK,Pp_2336,"Aconitate hydratase, putative",0.026581243055555554,614.0
Q88PK4,HSCA_PSEPK,Hsca,Chaperone protein HscA homolog,0.02657227861111111,615.0
Q88HH7,Q88HH7_PSEPK,Ptxs,Transcriptional regulator PtxS,0.02653627238888889,616.0
Q88Q07,PROB_PSEPK,Prob,Glutamate 5-kinase,0.026501793833333332,617.0
Q88CE8,Q88CE8_PSEPK,Amtb,Ammonium transporter,0.026484490444444442,618.0
Q88CA3,Q88CA3_PSEPK,Pp_5278,Aldehyde dehydrogenase family protein,0.026482724222222222,619.0
Q88KB5,Q88KB5_PSEPK,Meth,5-methyltetrahydrofolate--homocysteine methyltransferase,0.026472176333333333,620.0
Q88KY7,Q88KY7_PSEPK,Pp_2152,"Glycerophosphoryl diester phosphodiesterase, putative",0.026470555055555553,621.0
Q88DN5,Q88DN5_PSEPK,Pp_4789,"Metal ion transporter, putative",0.026418962,622.0
Q88QT3,Q88QT3_PSEPK,Pp_0405,Uncharacterized protein,0.026388552722222222,623.0
Q88MY4,ERA_PSEPK,Era,GTPase Era,0.026387300444444442,624.0
Q88N80,Q88N80_PSEPK,Murf,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,0.026358569055555555,625.0
Q88NF9,MQO2_PSEPK,Mqo2,Probable malate:quinone oxidoreductase 2,0.02633900311111111,626.0
Q88KX1,TAL_PSEPK,Tal,Transaldolase,0.02633560738888889,627.0
Q88MG9,FABZ_PSEPK,Fabz,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,0.02630185877777778,628.0
Q88RA6,Q88RA6_PSEPK,Pp_0227,"Cysteine ABC transporter, periplasmic cysteine-binding protein, putative",0.02619055138888889,629.0
Q88LV4,GCH11_PSEPK,Fole1,GTP cyclohydrolase 1 1,0.02610091611111111,630.0
Q88CG5,Q88CG5_PSEPK,Ppx,Exopolyphosphatase,0.02600844022222222,631.0
Q88C79,Q88C79_PSEPK,Pp_5304,"Lipoprotein, putative",0.0259955685,632.0
Q88QC7,SPEA_PSEPK,Spea,Biosynthetic arginine decarboxylase,0.02597417388888889,633.0
Q88LL4,Q88LL4_PSEPK,Fabf,3-oxoacyl-[acyl-carrier-protein] synthase 2,0.02592599333333333,634.0
Q88M11,Q88M11_PSEPK,Pp_1764,Phosphoglycolate phosphatase,0.025903491,635.0
Q88GR9,Q88GR9_PSEPK,Pp_3649,"Transcriptional regulator, GntR family",0.025759537666666665,636.0
Q88CG1,Q88CG1_PSEPK,Elbb,Enhancing lycopene biosynthesis protein 2,0.02575550038888889,637.0
Q88DC0,Q88DC0_PSEPK,Rhda-2,Sulfurtransferase,0.02573188638888889,638.0
Q88MH8,PYRH_PSEPK,Pyrh,Uridylate kinase,0.02571528172222222,639.0
Q88D80,Q88D80_PSEPK,Puta,Bifunctional protein PutA,0.025667243833333336,640.0
Q88EB7,Q88EB7_PSEPK,Fadd,Long-chain-fatty-acid-CoA ligase,0.025657998333333334,641.0
Q88IA0,Q88IA0_PSEPK,Pp_3099,Uncharacterized protein,0.025639325944444444,642.0
Q88DV1,Q88DV1_PSEPK,Ftsh,ATP-dependent zinc metalloprotease FtsH,0.025546050833333334,643.0
Q88Q89,ISPH_PSEPK,Isph,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,0.02553322088888889,644.0
Q88N68,Q88N68_PSEPK,Pp_1347,Glutathione S-transferase family protein,0.025532257555555556,645.0
Q88MY9,Q88MY9_PSEPK,Algn,Sigma factor algU regulatory protein AlgN,0.02548714261111111,646.0
Q88RE1,Q88RE1_PSEPK,Pfra,Transcriptional regulator PfrA,0.0254640275,647.0
Q88JG4,Q88JG4_PSEPK,Pp_2685,Uncharacterized protein,0.025400136722222223,648.0
Q88P41,Q88P41_PSEPK,Gltr-2,DNA-binding response regulator GltR,0.02539323922222222,649.0
Q88PC5,Q88PC5_PSEPK,Pp_0925,Uncharacterized protein,0.02537218825,650.0
Q88LY5,Q88LY5_PSEPK,Pp_1791,"Aldolase/synthase, putative",0.025317998166666668,651.0
Q88DH7,CBPA_PSEPK,Cbpa,Curved DNA-binding protein,0.025273608611111113,652.0
Q88NL7,Q88NL7_PSEPK,Pp_1190,Uncharacterized protein,0.025252621222222223,653.0
Q88EU6,Q88EU6_PSEPK,Flin,Flagellar motor switch protein FliN,0.025170877,654.0
Q88PQ5,Q88PQ5_PSEPK,Frub,"Phosphotransferase system, fructose-specific EI/HPr/EIIA components",0.02507492011111111,655.0
Q88J58,Q88J58_PSEPK,Pp_2791,Aminoglycoside phosphotransferase,0.024917523944444447,656.0
Q88FR9,MNMA_PSEPK,Mnma,tRNA-specific 2-thiouridylase MnmA,0.024907833444444444,657.0
Q88EI3,Q88EI3_PSEPK,Arug,Arginine N-succinyltransferase,0.02490341088888889,658.0
Q88J00,UREG_PSEPK,Ureg,Urease accessory protein UreG,0.024821229,659.0
Q88E29,Q88E29_PSEPK,Pp_4639,CobW/P47K family protein,0.024797349,660.0
Q88LF9,UVRB_PSEPK,Uvrb,UvrABC system protein B,0.02477379161111111,661.0
Q88CJ6,Q88CJ6_PSEPK,Pp_5184,"Glutamine synthetase, putative",0.024722049222222223,662.0
Q88C74,Q88C74_PSEPK,Pp_5309,"Transcriptional regulator, LysR family",0.02469367572222222,663.0
Q88N86,Q88N86_PSEPK,Rsmi,Ribosomal RNA small subunit methyltransferase I,0.024689479,664.0
Q88MC7,Q88MC7_PSEPK,Pp_1646,"Thioredoxin, putative",0.024504520944444445,665.0
Q88NX4,OTC_PSEPK,Argf,Ornithine carbamoyltransferase,0.0244933695,666.0
Q88KZ1,Q88KZ1_PSEPK,Mfd,Transcription-repair-coupling factor,0.024474323555555556,667.0
Q88CI1,Q88CI1_PSEPK,Pepp,Aminopeptidase P II,0.024417103166666666,668.0
Q88C31,Q88C31_PSEPK,Uvrd,DNA helicase,0.024342449166666665,669.0
Q88NB2,Q88NB2_PSEPK,Aapp,"General amino acid ABC transporter, ATP-binding protein",0.02431844372222222,670.0
Q88P92,Q88P92_PSEPK,Ttg2c,"Toluene tolerance ABC transporter, periplasmic substrate-binding protein",0.024277927166666668,671.0
Q88MU2,Q88MU2_PSEPK,Pp_1476,Uncharacterized protein,0.02421854472222222,672.0
Q88GA5,Q88GA5_PSEPK,Gor,Glutathione reductase,0.02421508727777778,673.0
Q88NM0,Q88NM0_PSEPK,Phoq,Histidine kinase,0.024197738611111113,674.0
Q88DB5,Q88DB5_PSEPK,Parc,DNA topoisomerase 4 subunit A,0.024109758888888888,675.0
Q88PQ6,Q88PQ6_PSEPK,Frur,Fructose transport system repressor FruR,0.024033787555555557,676.0
Q88FS9,LOLA_PSEPK,Lola,Outer-membrane lipoprotein carrier protein,0.024018015444444443,677.0
Q88M44,APEB_PSEPK,Apeb,Probable M18 family aminopeptidase 2,0.023916836166666663,678.0
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,0.023916076666666668,679.0
Q88MG8,LPXA_PSEPK,Lpxa,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase,0.023807452444444446,680.0
Q88LM2,Q88LM2_PSEPK,Pp_1908,"Peptidase, putative",0.023797240722222224,681.0
Q88LZ6,Q88LZ6_PSEPK,Pp_1780,"Mannosyltransferase, putative",0.02377347722222222,682.0
Q88MY2,PDXJ_PSEPK,Pdxj,Pyridoxine 5'-phosphate synthase,0.023755973277777776,683.0
Q88L01,FADA_PSEPK,Fada,3-ketoacyl-CoA thiolase,0.023720331722222224,684.0
Q88DV2,Q88DV2_PSEPK,Folp,Dihydropteroate synthase,0.02370508461111111,685.0
Q88R47,Q88R47_PSEPK,Pp_0287,Uncharacterized protein,0.023666881944444447,686.0
Q88M19,Q88M19_PSEPK,Pp_1756,Uncharacterized protein,0.023608892722222222,687.0
Q88EW3,CHEZ_PSEPK,Chez,Protein phosphatase CheZ,0.023556608333333333,688.0
Q88KX6,Q88KX6_PSEPK,Vacj,VacJ lipoprotein,0.023529710555555555,689.0
Q88DT8,Q88DT8_PSEPK,Omla,Outer membrane protein assembly factor BamE,0.023473303944444444,690.0
Q88R41,HIS6_PSEPK,Hisf,Imidazole glycerol phosphate synthase subunit HisF,0.023411600222222224,691.0
Q88Q98,Q88Q98_PSEPK,Pp_0596,Beta-alanine--pyruvate transaminase,0.023376958333333333,692.0
Q88D96,Q88D96_PSEPK,Pp_4931,Uncharacterized protein,0.023362596,693.0
Q88C72,Q88C72_PSEPK,Pp_5311,Uncharacterized protein,0.023335113333333334,694.0
Q88EC0,Q88EC0_PSEPK,Hrpa,ATP-dependent helicase HrpA,0.02329771261111111,695.0
Q88DQ3,Q88DQ3_PSEPK,Pp_4770,Uncharacterized protein,0.023279015222222223,696.0
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,0.023270695388888887,697.0
Q88DE7,RLMB_PSEPK,Rlmb,23S rRNA (guanosine-2'-O-)-methyltransferase RlmB,0.023225437166666668,698.0
Q88QZ4,GLNE_PSEPK,Glne,Glutamate-ammonia-ligase adenylyltransferase,0.023171358444444443,699.0
Q88LT2,Q88LT2_PSEPK,Pp_1845,Enoyl-CoA hydratase/isomerase family protein,0.02303610111111111,700.0
Q88C59,Q88C59_PSEPK,Pp_5324,Response regulator,0.022984407388888888,701.0
Q88IR6,Q88IR6_PSEPK,Pp_2933,Glutathione S-transferase family protein,0.022904915777777778,702.0
Q88KQ2,Q88KQ2_PSEPK,Pp_2238,"Peptidase, M24 family protein",0.022839771777777778,703.0
Q88ES7,Q88ES7_PSEPK,Flid,Flagellar hook-associated protein 2,0.022811216222222222,704.0
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,0.022740414222222224,705.0
Q88LW2,PYRF_PSEPK,Pyrf,Orotidine 5'-phosphate decarboxylase,0.022429902055555555,706.0
Q88RK6,Q88RK6_PSEPK,Pola,DNA polymerase I,0.022414146222222223,707.0
Q88EY5,Q88EY5_PSEPK,Pp_4315,"Phenazine biosynthesis protein, PhzF family",0.022368662777777777,708.0
Q88P65,GCSP1_PSEPK,Gcvp1,Glycine dehydrogenase (decarboxylating) 1,0.022336861166666666,709.0
Q88PB0,Q88PB0_PSEPK,Tldd,TldD protein,0.022275922777777776,710.0
Q88D01,Q88D01_PSEPK,Pip,Proline iminopeptidase,0.02215470638888889,711.0
Q88RR1,DEF1_PSEPK,Def1,Peptide deformylase 1,0.022129637666666667,712.0
Q88E93,Q88E93_PSEPK,Pp_4573,"ATPase, AAA family",0.022104108166666667,713.0
Q88LZ9,Q88LZ9_PSEPK,Xana,Phosphomannomutase,0.02208330088888889,714.0
Q88PL4,Q88PL4_PSEPK,Secf,Protein-export membrane protein SecF,0.02207711177777778,715.0
Q88F51,Y4248_PSEPK,Pp_4248,UPF0345 protein PP_4248,0.022031198944444445,716.0
Q88IS0,Q88IS0_PSEPK,Nspc,Carboxynorspermidine/carboxyspermidine decarboxylase,0.022016313055555556,717.0
Q88N75,MURC_PSEPK,Murc,UDP-N-acetylmuramate--L-alanine ligase,0.021958159166666668,718.0
Q88HN7,Q88HN7_PSEPK,Pp_3316,"Chaperone-associated ATPase, putative",0.021956806944444445,719.0
Q88NI8,Q88NI8_PSEPK,Tolq,Biopolymer transport protein TolQ,0.021764918777777777,720.0
Q88QR0,Q88QR0_PSEPK,Pp_0428,HIT family protein,0.021755435055555557,721.0
Q88KZ9,Q88KZ9_PSEPK,Topa,DNA topoisomerase 1,0.021754651166666666,722.0
Q88QV7,PQQD1_PSEPK,Pqqd1,Coenzyme PQQ synthesis protein D 1,0.021750475499999998,723.0
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,0.021722788333333333,724.0
Q88KV2,Q88KV2_PSEPK,Pp_2187,Universal stress protein family,0.02172159422222222,725.0
Q88R74,Q88R74_PSEPK,Nude,ADP compound hydrolase,0.021624269833333334,726.0
Q88C81,Q88C81_PSEPK,Spot,"Guanosine-3',5'-bis(Diphosphate) 3'-pyrophosphohydrolase",0.02161346111111111,727.0
Q88PM6,Q88PM6_PSEPK,Pp_0824,"Phosphate ABC transporter, periplasmic phosphate-binding protein, putative",0.021391035555555556,728.0
Q88PY6,Q88PY6_PSEPK,Pp_0712,Uncharacterized protein,0.02136992561111111,729.0
Q88KJ8,Q88KJ8_PSEPK,Pp_2292,Uncharacterized protein,0.021344992111111113,730.0
Q88KS4,Q88KS4_PSEPK,Fadax,3-ketoacyl-CoA thiolase,0.021267099833333334,731.0
Q88PR1,Q88PR1_PSEPK,Nadc,Nicotinate-nucleotide pyrophosphorylase,0.02120212661111111,732.0
Q88L05,Q88L05_PSEPK,Pp_2132,Universal stress protein,0.02118204738888889,733.0
Q88CM7,Q88CM7_PSEPK,Pp_5153,Fumarylacetoacetate hydrolase family protein,0.02109603361111111,734.0
Q88D15,HIS3_PSEPK,Hisi,Phosphoribosyl-AMP cyclohydrolase,0.021081393777777777,735.0
Q88KF9,Q88KF9_PSEPK,Pp_2331,Uncharacterized protein,0.020989238777777777,736.0
Q88DT6,SSRP_PSEPK,Smpb,SsrA-binding protein,0.02094447027777778,737.0
Q88N84,RSMH_PSEPK,Rsmh,Ribosomal RNA small subunit methyltransferase H,0.020928618,738.0
Q88DY6,Q88DY6_PSEPK,Pp_4682,"Lipoprotein, putative",0.020872525833333336,739.0
Q88K50,Y2442_PSEPK,Pp_2442,UPF0502 protein PP_2442,0.020851852833333333,740.0
Q88LM7,KDSB_PSEPK,Kdsb,3-deoxy-manno-octulosonate cytidylyltransferase,0.020823181833333333,741.0
Q88GF6,Q88GF6_PSEPK,Pp_3768,Shikimate 5-dehydrogenase/quinate 5-dehydrogenase family protein,0.020642477,742.0
Q88EW0,Q88EW0_PSEPK,Flen,Site-determining protein,0.02059490038888889,743.0
Q88PA1,Y949_PSEPK,Pp_0949,Nucleotide-binding protein PP_0949,0.020476826444444443,744.0
Q88L39,RLMKL_PSEPK,Rlml,Ribosomal RNA large subunit methyltransferase K/L,0.020457673722222222,745.0
Q88HH5,Q88HH5_PSEPK,Pp_3383,"Gluconate dehydrogenase, putative",0.020436246777777778,746.0
Q88FT3,CYSG_PSEPK,Cysg,Siroheme synthase,0.02043012038888889,747.0
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,0.02039421727777778,748.0
Q88F25,DNLJ_PSEPK,Liga,DNA ligase,0.020378101833333336,749.0
Q88LE6,Q88LE6_PSEPK,Pp_1987,"Methlytransferase, UbiE/COQ5 family",0.02036633688888889,750.0
Q88NV6,Q88NV6_PSEPK,Pp_1098,"ATP-binding protein, Mrp/Nbp35 family",0.020325197111111113,751.0
Q88GU7,Q88GU7_PSEPK,Pp_3620,Uncharacterized protein,0.020324500055555555,752.0
Q88DP7,Q88DP7_PSEPK,Pp_4776,"Transcriptional regulator, AsnC family",0.020285423666666667,753.0
Q88DS8,Q88DS8_PSEPK,Hsdm,"Type I restriction-modification system, M subunit",0.020284574666666666,754.0
Q88EF0,Q88EF0_PSEPK,Pp_4515,"Transcriptional regulator, MarR family",0.0202237995,755.0
Q88QZ8,MSRA_PSEPK,Msra,Peptide methionine sulfoxide reductase MsrA,0.02008378066666667,756.0
Q88G04,Q88G04_PSEPK,Pp_3922,"SohB protein, peptidase U7 family",0.020058305333333335,757.0
Q88QT6,RSMA_PSEPK,Rsma,Ribosomal RNA small subunit methyltransferase A,0.01998574527777778,758.0
Q88N24,Q88N24_PSEPK,Pp_1392,"NAD-binding protein, putative",0.019979915833333334,759.0
Q88ER0,Q88ER0_PSEPK,Chev-3,Chemotaxis protein CheV,0.019934495611111113,760.0
Q88R88,Q88R88_PSEPK,Pp_0245,S1 RNA binding domain protein,0.019925123166666666,761.0
Q88LC9,Q88LC9_PSEPK,Pp_2006,Uncharacterized protein,0.019918691333333335,762.0
Q88RL5,METN1_PSEPK,Metn1,Methionine import ATP-binding protein MetN 1,0.019851675111111113,763.0
Q88KC6,Q88KC6_PSEPK,Pp_2364,Uncharacterized protein,0.019778198333333333,764.0
Q88FS3,Q88FS3_PSEPK,Cspd,Cold-shock protein CspD,0.019773817,765.0
Q88EI4,ASTD_PSEPK,Astd,N-succinylglutamate 5-semialdehyde dehydrogenase,0.01963787061111111,766.0
Q88DX1,Q88DX1_PSEPK,Pcnb,Poly(A) polymerase I,0.01952684411111111,767.0
Q88NU3,Q88NU3_PSEPK,Pp_1111,"Synthetase, putative",0.0195208175,768.0
Q88C98,Q88C98_PSEPK,Pp_5283,"Periplasmic dipeptide-binding protein, putative",0.019454974666666666,769.0
Q88PA0,Q88PA0_PSEPK,Ptsn,"Phosphotransferase system, nitrogen regulatory IIA protein",0.019430890222222223,770.0
Q88M43,MINE_PSEPK,Mine,Cell division topological specificity factor,0.019385283666666666,771.0
Q88GE6,Q88GE6_PSEPK,Proc-1,Pyrroline-5-carboxylate reductase,0.019312564055555554,772.0
Q88M20,FUMC_PSEPK,Fumc,Fumarate hydratase class II,0.0192921525,773.0
Q88BX8,GLMS_PSEPK,Glms,Glutamine--fructose-6-phosphate aminotransferase [isomerizing],0.019242689833333337,774.0
Q88C95,DUT_PSEPK,Dut,Deoxyuridine 5'-triphosphate nucleotidohydrolase,0.019232497944444444,775.0
Q88F20,Q88F20_PSEPK,Xdhb,"Xanthine dehydrogenase, XdhB subunit",0.019214372444444447,776.0
Q88NH4,Q88NH4_PSEPK,Pp_1235,AhpC/TSA family protein,0.019207775055555557,777.0
Q88C05,Q88C05_PSEPK,Pp_5378,Cytochrome c family protein,0.01903684775,778.0
Q88QK7,UVRA_PSEPK,Uvra,UvrABC system protein A,0.019033070944444445,779.0
Q88DN4,LNT_PSEPK,Lnt,Apolipoprotein N-acyltransferase,0.019006859277777777,780.0
Q88N90,Q88N90_PSEPK,Pp_1322,"Lipoprotein, putative",0.018998073944444444,781.0
Q88P95,Q88P95_PSEPK,Pp_0957,Arabinose 5-phosphate isomerase,0.018952924444444446,782.0
Q88RR2,FMT_PSEPK,Fmt,Methionyl-tRNA formyltransferase,0.018888137055555556,783.0
Q88LZ7,Q88LZ7_PSEPK,Pp_1779,"Lipopolysaccharide ABC export system, ATP-binding protein",0.018817336722222223,784.0
Q88CS7,TRMB_PSEPK,Trmb,tRNA (guanine-N(7)-)-methyltransferase,0.018807327888888888,785.0
