From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ordered locus)	Gene Names (ORF)	Gene Names (primary)	Gene Names (synonym)
Q88K88	Q88K88	unreviewed	Q88K88_PSEPK	Chemotaxis protein CheY	PP_2403	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	246	PP_2403			
Q88K95	Q88K95	unreviewed	Q88K95_PSEPK	DUF4174 domain-containing protein	PP_2396	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	193	PP_2396			
Q88K98	Q88K98	unreviewed	Q88K98_PSEPK	DNA polymerase (EC 2.7.7.7)	polB PP_2393	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	786	PP_2393		polB	
Q88KA3	Q88KA3	unreviewed	Q88KA3_PSEPK	SGNH/GDSL hydrolase family protein	PP_2387	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	360	PP_2387			
Q88KA7	Q88KA7	unreviewed	Q88KA7_PSEPK	Transcriptional regulator, AraC family	PP_2383	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	281	PP_2383			
Q88KA9	Q88KA9	unreviewed	Q88KA9_PSEPK	Uncharacterized protein	PP_2381	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	80	PP_2381			
Q88KB0	Q88KB0	unreviewed	Q88KB0_PSEPK	Transporter	PP_2380	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	160	PP_2380			
Q88KB1	Q88KB1	unreviewed	Q88KB1_PSEPK	Cytochrome oxidase biogenesis protein	PP_2379	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	202	PP_2379			
Q88KB2	Q88KB2	reviewed	NFUA_PSEPK	Fe/S biogenesis protein NfuA	nfuA PP_2378	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	194	PP_2378		nfuA	
Q88KB4	Q88KB4	unreviewed	Q88KB4_PSEPK	Esterified fatty acid cis/trans isomerase (EC 5.2.-.-)	cti PP_2376	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	766	PP_2376		cti	
Q88KB5	Q88KB5	unreviewed	Q88KB5_PSEPK	Methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase)	metH PP_2375	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	1235	PP_2375		metH	
Q88KB9	Q88KB9	unreviewed	Q88KB9_PSEPK	Sulphite reductase hemoprotein, beta subunit	cysI PP_2371	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	550	PP_2371		cysI	
Q88KC0	Q88KC0	unreviewed	Q88KC0_PSEPK	DUF934 domain-containing protein	PP_2370	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	164	PP_2370			
Q88KC1	Q88KC1	unreviewed	Q88KC1_PSEPK	RING-type E3 ubiquitin transferase (EC 2.3.2.27)	PP_2369	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	1395	PP_2369			
Q88KC2	Q88KC2	unreviewed	Q88KC2_PSEPK	2,5-diketo-D-gluconate reductase (EC 1.1.1.-, EC 1.1.1.274, EC 1.1.1.91)	dkgB PP_2368	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	267	PP_2368		dkgB	
Q88KC6	Q88KC6	unreviewed	Q88KC6_PSEPK	Peptidase M14 carboxypeptidase A domain-containing protein	PP_2364	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	382	PP_2364			
Q88KC9	Q88KC9	unreviewed	Q88KC9_PSEPK	Chaperone protein	PP_2361	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	264	PP_2361			
Q88KD1	Q88KD1	unreviewed	Q88KD1_PSEPK	Type 1 pili subunit CsuA/B protein	PP_2359	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	177	PP_2359			
Q88KD4	Q88KD4	unreviewed	Q88KD4_PSEPK	histidine kinase (EC 2.7.13.3)	PP_2356	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	755	PP_2356			
Q88KD5	Q88KD5	unreviewed	Q88KD5_PSEPK	Response regulator receiver protein	PP_2355	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	153	PP_2355			
Q88KD6	Q88KD6	unreviewed	Q88KD6_PSEPK	histidine kinase (EC 2.7.13.3)	PP_2354	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	795	PP_2354			
Q88KE1	Q88KE1	unreviewed	Q88KE1_PSEPK	CBS domain protein	PP_2349	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	384	PP_2349			
Q88KE3	Q88KE3	unreviewed	Q88KE3_PSEPK	DNA-binding response regulator	PP_2347	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	222	PP_2347			
Q88KE4	Q88KE4	unreviewed	Q88KE4_PSEPK	PepSY domain-containing protein	PP_2346	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	104	PP_2346			
Q88KE5	Q88KE5	unreviewed	Q88KE5_PSEPK	PepSY domain-containing protein	PP_2345	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	102	PP_2345			
Q88KE6	Q88KE6	unreviewed	Q88KE6_PSEPK	Patatin-like phospholipase family protein	PP_2344	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	359	PP_2344			
Q88KE7	Q88KE7	unreviewed	Q88KE7_PSEPK	Zeta toxin domain-containing protein	PP_2343	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	243	PP_2343			
Q88KE9	Q88KE9	unreviewed	Q88KE9_PSEPK	6-carboxy-5,6,7,8-tetrahydropterin synthase (EC 4.-.-.-)	queD PP_2341	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	118	PP_2341		queD	
Q88KF0	Q88KF0	unreviewed	Q88KF0_PSEPK	Fe-S protein	PP_2340	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	172	PP_2340			
Q88KF1	Q88KF1	unreviewed	Q88KF1_PSEPK	Aconitate hydratase B (EC 4.2.1.3) (EC 4.2.1.99) (2-methylisocitrate dehydratase)	acnB PP_2339	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	869	PP_2339		acnB	
Q88KF2	Q88KF2	unreviewed	Q88KF2_PSEPK	2-methylcitrate dehydratase (EC 4.2.1.79)	prpD PP_2338	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	494	PP_2338		prpD	
Q88KF3	Q88KF3	unreviewed	Q88KF3_PSEPK	Aconitate isomerase	prpF PP_2337	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	396	PP_2337		prpF	
Q88KF4	Q88KF4	unreviewed	Q88KF4_PSEPK	Aconitate hydratase 1 (EC 4.2.1.3)	acnA-II PP_2336	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	862	PP_2336		acnA-II	
Q88KF5	Q88KF5	unreviewed	Q88KF5_PSEPK	Citrate synthase	prpC PP_2335	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	375	PP_2335		prpC	
Q88KF6	Q88KF6	unreviewed	Q88KF6_PSEPK	2-methylisocitrate lyase (2-MIC) (MICL) (EC 4.1.3.30) ((2R,3S)-2-methylisocitrate lyase)	prpB mmgF PP_2334	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	296	PP_2334		prpB	mmgF
Q88KF7	Q88KF7	unreviewed	Q88KF7_PSEPK	GntR family transcriptional regulator	PP_2333	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	238	PP_2333			
Q88KF8	Q88KF8	unreviewed	Q88KF8_PSEPK	Putative ATP-dependent zinc protease domain-containing protein	PP_2332	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	178	PP_2332			
Q88KF9	Q88KF9	unreviewed	Q88KF9_PSEPK	Inactive transglutaminase fused to 7 transmembrane helices	PP_2331	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	511	PP_2331			
Q88KG0	Q88KG0	unreviewed	Q88KG0_PSEPK	ATP-grasp domain-containing protein	PP_2330	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	326	PP_2330			
Q88KG1	Q88KG1	unreviewed	Q88KG1_PSEPK	aminodeoxychorismate synthase (EC 2.6.1.85)	pabB PP_2329	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	446	PP_2329		pabB	
Q88KG2	Q88KG2	unreviewed	Q88KG2_PSEPK	Adenosine 5'-phosphosulfate reductase (APS reductase) (EC 1.8.4.10) (5'-adenylylsulfate reductase) (Thioredoxin-dependent 5'-adenylylsulfate reductase)	cysH PP_2328	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	244	PP_2328		cysH	
Q88KG3	Q88KG3	unreviewed	Q88KG3_PSEPK	Transcriptional dual regulator / CysB-O-acetyl-L-serine	cysB PP_2327	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	324	PP_2327		cysB	
Q88KG4	Q88KG4	unreviewed	Q88KG4_PSEPK	Universal stress protein	PP_2326	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	165	PP_2326			
Q88KG5	Q88KG5	unreviewed	Q88KG5_PSEPK	2-dehydropantoate 2-reductase (EC 1.1.1.169) (Ketopantoate reductase)	PP_2325	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	315	PP_2325			
Q88KG6	Q88KG6	unreviewed	Q88KG6_PSEPK	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	aroF-I PP_2324	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	370	PP_2324		aroF-I	
Q88KG7	Q88KG7	unreviewed	Q88KG7_PSEPK	N-acetyltransferase domain-containing protein	PP_2323	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	143	PP_2323			
Q88KH0	Q88KH0	unreviewed	Q88KH0_PSEPK	L,D-TPase catalytic domain-containing protein	PP_2320	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	325	PP_2320			
Q88KH2	Q88KH2	unreviewed	Q88KH2_PSEPK	Acyl-CoA thioesterase I/protease I/lysophospholipase L1 (EC 3.1.1.5, EC 3.1.2.14, EC 3.1.2.2)	tesA PP_2318	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	201	PP_2318		tesA	
Q88KH3	Q88KH3	unreviewed	Q88KH3_PSEPK	ABC transporter-ATP binding subunit	ybbA PP_2317	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	228	PP_2317		ybbA	
Q88KH4	Q88KH4	unreviewed	Q88KH4_PSEPK	ABC transporter, permease protein	PP_2316	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	832	PP_2316			
Q88KH5	Q88KH5	reviewed	GREB_PSEPK	Transcription elongation factor GreB (Transcript cleavage factor GreB)	greB PP_2315	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	162	PP_2315		greB	
Q88KH6	Q88KH6	unreviewed	Q88KH6_PSEPK	Class I SAM-dependent methyltransferase	PP_2314	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	102	PP_2314			
Q88KH9	Q88KH9	unreviewed	Q88KH9_PSEPK	Mg-dependent cytoplasmic DNase / RNase (EC 3.1.21.-)	tatD PP_2311	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	265	PP_2311		tatD	
Q88KI0	Q88KI0	unreviewed	Q88KI0_PSEPK	Methyl-accepting chemotaxis transducer	PP_2310	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	492	PP_2310			
Q88KI1	Q88KI1	unreviewed	Q88KI1_PSEPK	Terminase	PP_2309	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	122	PP_2309			
Q88KI2	Q88KI2	unreviewed	Q88KI2_PSEPK	Acyl-CoA thioesterase II	PP_2308	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	265	PP_2308			
Q88KI3	Q88KI3	unreviewed	Q88KI3_PSEPK	CHAD domain-containing protein	PP_2307	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	259	PP_2307			
Q88KI4	Q88KI4	unreviewed	Q88KI4_PSEPK	Lipoprotein	PP_2306	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	92	PP_2306			
Q88KI5	Q88KI5	unreviewed	Q88KI5_PSEPK	PNPLA domain-containing protein	PP_2305	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	348	PP_2305			
Q88KI6	Q88KI6	unreviewed	Q88KI6_PSEPK	Periplasmic chaperone PpiD (Periplasmic folding chaperone)	PP_2304	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	623	PP_2304			
Q88KI8	Q88KI8	unreviewed	Q88KI8_PSEPK	Lon protease (EC 3.4.21.53) (ATP-dependent protease La)	lon-II lon PP_2302	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	798	PP_2302		lon-II	lon
Q88KI9	Q88KI9	reviewed	CLPX_PSEPK	ATP-dependent Clp protease ATP-binding subunit ClpX	clpX PP_2301	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	442	PP_2301		clpX	
Q88KJ0	Q88KJ0	reviewed	CLPP_PSEPK	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp)	clpP PP_2300	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	213	PP_2300		clpP	
Q88KJ1	Q88KJ1	reviewed	TIG_PSEPK	Trigger factor (TF) (EC 5.2.1.8) (PPIase)	tig PP_2299	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	437	PP_2299		tig	
Q88KJ2	Q88KJ2	unreviewed	Q88KJ2_PSEPK	DNA repair ATPase	PP_2298	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	112	PP_2298			
Q88KJ4	Q88KJ4	unreviewed	Q88KJ4_PSEPK	MarR family transcriptional regulator	PP_2296	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	118	PP_2296			
Q88KJ6	Q88KJ6	unreviewed	Q88KJ6_PSEPK	Uncharacterized protein	PP_2294	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	146	PP_2294			
Q88KJ8	Q88KJ8	unreviewed	Q88KJ8_PSEPK	Apea-like HEPN domain-containing protein	PP_2292	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	256	PP_2292			
Q88KK3	Q88KK3	unreviewed	Q88KK3_PSEPK	Phage internal core protein	PP_2287	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	1569	PP_2287			
Q88KK6	Q88KK6	unreviewed	Q88KK6_PSEPK	Tail tubular protein B	PP_2284	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	781	PP_2284			
Q88KL3	Q88KL3	unreviewed	Q88KL3_PSEPK	Uncharacterized protein	PP_2277	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	461	PP_2277			
Q88KM5	Q88KM5	reviewed	FOLD2_PSEPK	Bifunctional protein FolD 2 [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]	folD2 folD-2 PP_2265	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	284	PP_2265		folD2	folD-2
Q88KM6	Q88KM6	unreviewed	Q88KM6_PSEPK	Sugar ABC transporter, periplasmic sugar-binding protein	PP_2264	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	579	PP_2264			
Q88KN2	Q88KN2	unreviewed	Q88KN2_PSEPK	Sensory box protein	PP_2258	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	562	PP_2258			
Q88KN3	Q88KN3	unreviewed	Q88KN3_PSEPK	Aerotaxis receptor	PP_2257	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	521	PP_2257			
Q88KN5	Q88KN5	unreviewed	Q88KN5_PSEPK	C4-dicarboxylate transport protein	dctA-III PP_2255	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	436	PP_2255		dctA-III	
Q88KN6	Q88KN6	unreviewed	Q88KN6_PSEPK	Transcriptional regulator, GntR family	PP_2254	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	232	PP_2254			
Q88KN9	Q88KN9	unreviewed	Q88KN9_PSEPK	Chlorhexidine efflux transporter domain-containing protein	PP_2251	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	142	PP_2251			
Q88KP0	Q88KP0	unreviewed	Q88KP0_PSEPK	Transcriptional regulator, LysR family	PP_2250	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	292	PP_2250			
Q88KP1	Q88KP1	reviewed	MCPA_PSEPK	Methyl-accepting chemotaxis protein McpA	mcpA pctB PP_2249	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	643	PP_2249		mcpA	pctB
Q88KP3	Q88KP3	unreviewed	Q88KP3_PSEPK	Endoribonuclease	PP_2247	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	125	PP_2247			
Q88KP7	Q88KP7	unreviewed	Q88KP7_PSEPK	Histidine phosphatase family protein	PP_2243	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	200	PP_2243			
Q88KQ0	Q88KQ0	unreviewed	Q88KQ0_PSEPK	ABC efflux transporter, permease/ATP-binding protein	PP_2240	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	626	PP_2240			
Q88KQ2	Q88KQ2	unreviewed	Q88KQ2_PSEPK	Metallopeptidase	PP_2238	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	633	PP_2238			
Q88KQ3	Q88KQ3	unreviewed	Q88KQ3_PSEPK	DUF3182 family protein	PP_2237	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	372	PP_2237			
Q88KQ7	Q88KQ7	unreviewed	Q88KQ7_PSEPK	Hydrolase, isochorismatase family	PP_2233	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	182	PP_2233			
Q88KQ8	Q88KQ8	unreviewed	Q88KQ8_PSEPK	XRE family transcriptional regulator	PP_2232	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	177	PP_2232			
Q88KQ9	Q88KQ9	unreviewed	Q88KQ9_PSEPK	Permease of the drug/metabolite transporter (DMT) superfamily	PP_2231	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	316	PP_2231			
Q88KR0	Q88KR0	unreviewed	Q88KR0_PSEPK	K(+)/H(+) antiporter subunit A/B	mrpAB PP_2230	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	971	PP_2230		mrpAB	
Q88KR2	Q88KR2	unreviewed	Q88KR2_PSEPK	K(+)/H(+) antiporter subunit D	mrpD PP_2228	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	559	PP_2228		mrpD	
Q88KR3	Q88KR3	unreviewed	Q88KR3_PSEPK	Multicomponent potassium-proton antiporter, subunit E	mrpE PP_2227	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	162	PP_2227		mrpE	
Q88KR5	Q88KR5	unreviewed	Q88KR5_PSEPK	Multicomponent potassium-proton antiporter, subunit G	mrpG PP_2225	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	121	PP_2225		mrpG	
Q88KR7	Q88KR7	unreviewed	Q88KR7_PSEPK	Uncharacterized protein	PP_2223	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	176	PP_2223			
Q88KR8	Q88KR8	unreviewed	Q88KR8_PSEPK	Uncharacterized protein	PP_2222	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	65	PP_2222			
Q88KS0	Q88KS0	unreviewed	Q88KS0_PSEPK	C4-type zinc finger protein, DksA/TraR family	PP_2220	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	134	PP_2220			
Q88KS2	Q88KS2	unreviewed	Q88KS2_PSEPK	Enoyl-CoA hydratase (EC 4.2.1.-, EC 4.2.1.17)	PP_2217	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	257	PP_2217			
Q88KS3	Q88KS3	unreviewed	Q88KS3_PSEPK	Short-chain acyl-CoA dehydrogenase (EC 1.3.99.-)	acd PP_2216	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	375	PP_2216		acd	
Q88KS4	Q88KS4	unreviewed	Q88KS4_PSEPK	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	PP_2215	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	397	PP_2215			
Q88KS5	Q88KS5	unreviewed	Q88KS5_PSEPK	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.178, EC 1.1.1.35)	fadBA PP_2214	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	255	PP_2214		fadBA	
Q88KS6	Q88KS6	unreviewed	Q88KS6_PSEPK	Acyl-CoA synthetase (EC 6.2.1.-)	PP_2213	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	561	PP_2213			
Q88KT0	Q88KT0	reviewed	PHNW_PSEPK	2-aminoethylphosphonate--pyruvate transaminase (EC 2.6.1.37) (2-aminoethylphosphonate aminotransferase) (AEP transaminase) (AEPT)	phnW PP_2209	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	368	PP_2209		phnW	
Q88KT1	Q88KT1	reviewed	PHNX_PSEPK	Phosphonoacetaldehyde hydrolase (Phosphonatase) (EC 3.11.1.1) (Phosphonoacetaldehyde phosphonohydrolase)	phnX PP_2208	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	275	PP_2208		phnX	
Q88KT3	Q88KT3	unreviewed	Q88KT3_PSEPK	Peptidase	yegQ PP_2206	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	426	PP_2206		yegQ	
Q88KT5	Q88KT5	unreviewed	Q88KT5_PSEPK	Copper resistance protein B	copB-I PP_2204	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	294	PP_2204		copB-I	
Q88KT8	Q88KT8	unreviewed	Q88KT8_PSEPK	Hydrolase, alpha/beta fold family	PP_2201	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	332	PP_2201			
Q88KU1	Q88KU1	unreviewed	Q88KU1_PSEPK	Aldose sugar dehydrogenase (EC 1.1.5.-)	yliI PP_2198	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	381	PP_2198		yliI	
Q88KU2	Q88KU2	unreviewed	Q88KU2_PSEPK	Lipoprotein	PP_2197	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	105	PP_2197			
Q88KU3	Q88KU3	unreviewed	Q88KU3_PSEPK	Agmatinase (EC 3.5.3.11)	speB PP_2196	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	311	PP_2196		speB	
Q88KU8	Q88KU8	unreviewed	Q88KU8_PSEPK	Lipoprotein	PP_2191	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	159	PP_2191			
