Rank,Protein.Group,Protein.Names,Protein,Protein.Description,%_of protein_abundance_Top3-method
579,Q88DA8,Q88DA8_PSEPK,Pp_4919,MutT/nudix family protein,0.028494517
580,Q88LV1,Q88LV1_PSEPK,Pp_1826,"Hydrolase, isochorismatase family",0.028425672
581,Q88N74,DDLB_PSEPK,Ddlb,D-alanine--D-alanine ligase B,0.028357596
582,Q88IR3,Q88IR3_PSEPK,Pp_2936,"ABC transporter, ATP-binding protein",0.028351126
583,Q88DE5,Q88DE5_PSEPK,Pp_4881,"Iron ABC transporter, periplasmic iron-binding protein, putative",0.028283314
584,Q88CV6,DCUP_PSEPK,Heme,Uroporphyrinogen decarboxylase,0.028099871
585,Q88FJ1,Q88FJ1_PSEPK,Pp_4104,Glutathione S-transferase family protein,0.028015706
586,Q88L24,Q88L24_PSEPK,Acna,Aconitate hydratase,0.027901801
587,Q88HH4,Q88HH4_PSEPK,Pp_3384,Uncharacterized protein,0.027838302
588,Q88M54,Q88M54_PSEPK,Pp_1720,"Alcohol dehydrogenase, zinc-containing",0.02770077
589,Q88E78,Q88E78_PSEPK,Pp_4588,Nitroreductase family protein,0.027670218
590,Q88KH0,Q88KH0_PSEPK,Pp_2320,Uncharacterized protein,0.027604039
591,Q88C88,Q88C88_PSEPK,Pp_5295,Uncharacterized protein,0.027422022
592,Q88KX8,Q88KX8_PSEPK,Pp_2161,Uncharacterized protein,0.027395205
593,Q88DP2,Q88DP2_PSEPK,Thid,Phosphomethylpyrimidine kinase,0.027245404
594,Q88PT2,Q88PT2_PSEPK,Pp_0766,Uncharacterized protein,0.027235294
595,Q88Q90,Q88Q90_PSEPK,Fkpb,Peptidyl-prolyl cis-trans isomerase,0.02722945
596,Q88RK8,Q88RK8_PSEPK,Thrb,Homoserine kinase,0.027174278
597,Q88D47,Y4981_PSEPK,Pp_4981,UPF0312 protein PP_4981,0.02713917
598,Q88JW9,Q88JW9_PSEPK,Mety,O-acetylhomoserine sulfhydrylase,0.027088781
599,Q88MZ5,Q88MZ5_PSEPK,Pp_1423,tRNA-modifying protein YgfZ,0.027077524
600,Q88PH8,RF3_PSEPK,Prfc,Peptide chain release factor 3,0.027068777
601,Q88EW4,Q88EW4_PSEPK,Chea,Histidine kinase,0.027024653
602,Q88RQ6,HEM6_PSEPK,Hemf,Oxygen-dependent coproporphyrinogen-III oxidase,0.027003811
603,Q88HH6,Q88HH6_PSEPK,Pp_3382,"Gluconate dehydrogenase cytochrome c subunit, putative",0.026940852
604,Q88CK1,Q88CK1_PSEPK,Potg,Polyamine-transporting ATPase,0.026903335
605,Q88C96,Q88C96_PSEPK,Coabc,Phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase,0.026873047
606,Q88DW7,G6PI2_PSEPK,Pgi2,Glucose-6-phosphate isomerase 2,0.026869419
607,Q88CQ3,Q88CQ3_PSEPK,Pp_5127,Uncharacterized protein,0.026838386
608,Q88F16,Q88F16_PSEPK,Pp_4283,"Transcriptional regulator, GntR family",0.026772255
609,Q88DG3,Q88DG3_PSEPK,Pp_4862,"Oxidoreductase, short chain dehydrogenase/reductase family",0.026722525
610,Q88QG7,DXS_PSEPK,Dxs,1-deoxy-D-xylulose-5-phosphate synthase,0.026698379
611,Q88J57,Q88J57_PSEPK,Pp_2792,Uncharacterized protein,0.026660946
612,Q88LZ2,Q88LZ2_PSEPK,Rmld,dTDP-4-dehydrorhamnose reductase,0.026650129
613,Q88HC9,Q88HC9_PSEPK,Pp_3431,ThiJ/PfpI family protein,0.026582678
614,Q88KF4,Q88KF4_PSEPK,Pp_2336,"Aconitate hydratase, putative",0.026581243
615,Q88PK4,HSCA_PSEPK,Hsca,Chaperone protein HscA homolog,0.026572279
616,Q88HH7,Q88HH7_PSEPK,Ptxs,Transcriptional regulator PtxS,0.026536272
617,Q88Q07,PROB_PSEPK,Prob,Glutamate 5-kinase,0.026501794
618,Q88CE8,Q88CE8_PSEPK,Amtb,Ammonium transporter,0.02648449
619,Q88CA3,Q88CA3_PSEPK,Pp_5278,Aldehyde dehydrogenase family protein,0.026482724
620,Q88KB5,Q88KB5_PSEPK,Meth,5-methyltetrahydrofolate--homocysteine methyltransferase,0.026472176
621,Q88KY7,Q88KY7_PSEPK,Pp_2152,"Glycerophosphoryl diester phosphodiesterase, putative",0.026470555
622,Q88DN5,Q88DN5_PSEPK,Pp_4789,"Metal ion transporter, putative",0.026418962
623,Q88QT3,Q88QT3_PSEPK,Pp_0405,Uncharacterized protein,0.026388553
624,Q88MY4,ERA_PSEPK,Era,GTPase Era,0.0263873
625,Q88N80,Q88N80_PSEPK,Murf,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,0.026358569
626,Q88NF9,MQO2_PSEPK,Mqo2,Probable malate:quinone oxidoreductase 2,0.026339003
627,Q88KX1,TAL_PSEPK,Tal,Transaldolase,0.026335607
628,Q88MG9,FABZ_PSEPK,Fabz,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,0.026301859
629,Q88RA6,Q88RA6_PSEPK,Pp_0227,"Cysteine ABC transporter, periplasmic cysteine-binding protein, putative",0.026190551
630,Q88LV4,GCH11_PSEPK,Fole1,GTP cyclohydrolase 1 1,0.026100916
631,Q88CG5,Q88CG5_PSEPK,Ppx,Exopolyphosphatase,0.02600844
632,Q88C79,Q88C79_PSEPK,Pp_5304,"Lipoprotein, putative",0.025995569
633,Q88QC7,SPEA_PSEPK,Spea,Biosynthetic arginine decarboxylase,0.025974174
634,Q88LL4,Q88LL4_PSEPK,Fabf,3-oxoacyl-[acyl-carrier-protein] synthase 2,0.025925993
635,Q88M11,Q88M11_PSEPK,Pp_1764,Phosphoglycolate phosphatase,0.025903491
636,Q88GR9,Q88GR9_PSEPK,Pp_3649,"Transcriptional regulator, GntR family",0.025759538
637,Q88CG1,Q88CG1_PSEPK,Elbb,Enhancing lycopene biosynthesis protein 2,0.0257555
638,Q88DC0,Q88DC0_PSEPK,Rhda-2,Sulfurtransferase,0.025731886
639,Q88MH8,PYRH_PSEPK,Pyrh,Uridylate kinase,0.025715282
640,Q88D80,Q88D80_PSEPK,Puta,Bifunctional protein PutA,0.025667244
641,Q88EB7,Q88EB7_PSEPK,Fadd,Long-chain-fatty-acid-CoA ligase,0.025657998
642,Q88IA0,Q88IA0_PSEPK,Pp_3099,Uncharacterized protein,0.025639326
643,Q88DV1,Q88DV1_PSEPK,Ftsh,ATP-dependent zinc metalloprotease FtsH,0.025546051
644,Q88Q89,ISPH_PSEPK,Isph,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,0.025533221
645,Q88N68,Q88N68_PSEPK,Pp_1347,Glutathione S-transferase family protein,0.025532258
646,Q88MY9,Q88MY9_PSEPK,Algn,Sigma factor algU regulatory protein AlgN,0.025487143
647,Q88RE1,Q88RE1_PSEPK,Pfra,Transcriptional regulator PfrA,0.025464028
648,Q88JG4,Q88JG4_PSEPK,Pp_2685,Uncharacterized protein,0.025400137
649,Q88P41,Q88P41_PSEPK,Gltr-2,DNA-binding response regulator GltR,0.025393239
650,Q88PC5,Q88PC5_PSEPK,Pp_0925,Uncharacterized protein,0.025372188
651,Q88LY5,Q88LY5_PSEPK,Pp_1791,"Aldolase/synthase, putative",0.025317998
652,Q88DH7,CBPA_PSEPK,Cbpa,Curved DNA-binding protein,0.025273609
653,Q88NL7,Q88NL7_PSEPK,Pp_1190,Uncharacterized protein,0.025252621
654,Q88EU6,Q88EU6_PSEPK,Flin,Flagellar motor switch protein FliN,0.025170877
655,Q88PQ5,Q88PQ5_PSEPK,Frub,"Phosphotransferase system, fructose-specific EI/HPr/EIIA components",0.02507492
656,Q88J58,Q88J58_PSEPK,Pp_2791,Aminoglycoside phosphotransferase,0.024917524
657,Q88FR9,MNMA_PSEPK,Mnma,tRNA-specific 2-thiouridylase MnmA,0.024907833
658,Q88EI3,Q88EI3_PSEPK,Arug,Arginine N-succinyltransferase,0.024903411
659,Q88J00,UREG_PSEPK,Ureg,Urease accessory protein UreG,0.024821229
660,Q88E29,Q88E29_PSEPK,Pp_4639,CobW/P47K family protein,0.024797349
661,Q88LF9,UVRB_PSEPK,Uvrb,UvrABC system protein B,0.024773792
662,Q88CJ6,Q88CJ6_PSEPK,Pp_5184,"Glutamine synthetase, putative",0.024722049
663,Q88C74,Q88C74_PSEPK,Pp_5309,"Transcriptional regulator, LysR family",0.024693676
664,Q88N86,Q88N86_PSEPK,Rsmi,Ribosomal RNA small subunit methyltransferase I,0.024689479
665,Q88MC7,Q88MC7_PSEPK,Pp_1646,"Thioredoxin, putative",0.024504521
666,Q88NX4,OTC_PSEPK,Argf,Ornithine carbamoyltransferase,0.02449337
667,Q88KZ1,Q88KZ1_PSEPK,Mfd,Transcription-repair-coupling factor,0.024474324
668,Q88CI1,Q88CI1_PSEPK,Pepp,Aminopeptidase P II,0.024417103
669,Q88C31,Q88C31_PSEPK,Uvrd,DNA helicase,0.024342449
670,Q88NB2,Q88NB2_PSEPK,Aapp,"General amino acid ABC transporter, ATP-binding protein",0.024318444
671,Q88P92,Q88P92_PSEPK,Ttg2c,"Toluene tolerance ABC transporter, periplasmic substrate-binding protein",0.024277927
672,Q88MU2,Q88MU2_PSEPK,Pp_1476,Uncharacterized protein,0.024218545
673,Q88GA5,Q88GA5_PSEPK,Gor,Glutathione reductase,0.024215087
674,Q88NM0,Q88NM0_PSEPK,Phoq,Histidine kinase,0.024197739
675,Q88DB5,Q88DB5_PSEPK,Parc,DNA topoisomerase 4 subunit A,0.024109759
676,Q88PQ6,Q88PQ6_PSEPK,Frur,Fructose transport system repressor FruR,0.024033788
677,Q88FS9,LOLA_PSEPK,Lola,Outer-membrane lipoprotein carrier protein,0.024018015
678,Q88M44,APEB_PSEPK,Apeb,Probable M18 family aminopeptidase 2,0.023916836
679,P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,0.023916077
680,Q88MG8,LPXA_PSEPK,Lpxa,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase,0.023807452
681,Q88LM2,Q88LM2_PSEPK,Pp_1908,"Peptidase, putative",0.023797241
682,Q88LZ6,Q88LZ6_PSEPK,Pp_1780,"Mannosyltransferase, putative",0.023773477
683,Q88MY2,PDXJ_PSEPK,Pdxj,Pyridoxine 5'-phosphate synthase,0.023755973
684,Q88L01,FADA_PSEPK,Fada,3-ketoacyl-CoA thiolase,0.023720332
685,Q88DV2,Q88DV2_PSEPK,Folp,Dihydropteroate synthase,0.023705085
686,Q88R47,Q88R47_PSEPK,Pp_0287,Uncharacterized protein,0.023666882
687,Q88M19,Q88M19_PSEPK,Pp_1756,Uncharacterized protein,0.023608893
688,Q88EW3,CHEZ_PSEPK,Chez,Protein phosphatase CheZ,0.023556608
689,Q88KX6,Q88KX6_PSEPK,Vacj,VacJ lipoprotein,0.023529711
690,Q88DT8,Q88DT8_PSEPK,Omla,Outer membrane protein assembly factor BamE,0.023473304
691,Q88R41,HIS6_PSEPK,Hisf,Imidazole glycerol phosphate synthase subunit HisF,0.0234116
692,Q88Q98,Q88Q98_PSEPK,Pp_0596,Beta-alanine--pyruvate transaminase,0.023376958
693,Q88D96,Q88D96_PSEPK,Pp_4931,Uncharacterized protein,0.023362596
694,Q88C72,Q88C72_PSEPK,Pp_5311,Uncharacterized protein,0.023335113
695,Q88EC0,Q88EC0_PSEPK,Hrpa,ATP-dependent helicase HrpA,0.023297713
696,Q88DQ3,Q88DQ3_PSEPK,Pp_4770,Uncharacterized protein,0.023279015
697,P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,0.023270695
698,Q88DE7,RLMB_PSEPK,Rlmb,23S rRNA (guanosine-2'-O-)-methyltransferase RlmB,0.023225437
699,Q88QZ4,GLNE_PSEPK,Glne,Glutamate-ammonia-ligase adenylyltransferase,0.023171358
700,Q88LT2,Q88LT2_PSEPK,Pp_1845,Enoyl-CoA hydratase/isomerase family protein,0.023036101
701,Q88C59,Q88C59_PSEPK,Pp_5324,Response regulator,0.022984407
702,Q88IR6,Q88IR6_PSEPK,Pp_2933,Glutathione S-transferase family protein,0.022904916
703,Q88KQ2,Q88KQ2_PSEPK,Pp_2238,"Peptidase, M24 family protein",0.022839772
704,Q88ES7,Q88ES7_PSEPK,Flid,Flagellar hook-associated protein 2,0.022811216
705,P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,0.022740414
706,Q88LW2,PYRF_PSEPK,Pyrf,Orotidine 5'-phosphate decarboxylase,0.022429902
707,Q88RK6,Q88RK6_PSEPK,Pola,DNA polymerase I,0.022414146
708,Q88EY5,Q88EY5_PSEPK,Pp_4315,"Phenazine biosynthesis protein, PhzF family",0.022368663
709,Q88P65,GCSP1_PSEPK,Gcvp1,Glycine dehydrogenase (decarboxylating) 1,0.022336861
710,Q88PB0,Q88PB0_PSEPK,Tldd,TldD protein,0.022275923
711,Q88D01,Q88D01_PSEPK,Pip,Proline iminopeptidase,0.022154706
712,Q88RR1,DEF1_PSEPK,Def1,Peptide deformylase 1,0.022129638
713,Q88E93,Q88E93_PSEPK,Pp_4573,"ATPase, AAA family",0.022104108
714,Q88LZ9,Q88LZ9_PSEPK,Xana,Phosphomannomutase,0.022083301
715,Q88PL4,Q88PL4_PSEPK,Secf,Protein-export membrane protein SecF,0.022077112
716,Q88F51,Y4248_PSEPK,Pp_4248,UPF0345 protein PP_4248,0.022031199
717,Q88IS0,Q88IS0_PSEPK,Nspc,Carboxynorspermidine/carboxyspermidine decarboxylase,0.022016313
718,Q88N75,MURC_PSEPK,Murc,UDP-N-acetylmuramate--L-alanine ligase,0.021958159
719,Q88HN7,Q88HN7_PSEPK,Pp_3316,"Chaperone-associated ATPase, putative",0.021956807
720,Q88NI8,Q88NI8_PSEPK,Tolq,Biopolymer transport protein TolQ,0.021764919
721,Q88QR0,Q88QR0_PSEPK,Pp_0428,HIT family protein,0.021755435
722,Q88KZ9,Q88KZ9_PSEPK,Topa,DNA topoisomerase 1,0.021754651
723,Q88QV7,PQQD1_PSEPK,Pqqd1,Coenzyme PQQ synthesis protein D 1,0.021750475
724,P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,0.021722788
725,Q88KV2,Q88KV2_PSEPK,Pp_2187,Universal stress protein family,0.021721594
726,Q88R74,Q88R74_PSEPK,Nude,ADP compound hydrolase,0.02162427
727,Q88C81,Q88C81_PSEPK,Spot,"Guanosine-3',5'-bis(Diphosphate) 3'-pyrophosphohydrolase",0.021613461
728,Q88PM6,Q88PM6_PSEPK,Pp_0824,"Phosphate ABC transporter, periplasmic phosphate-binding protein, putative",0.021391036
729,Q88PY6,Q88PY6_PSEPK,Pp_0712,Uncharacterized protein,0.021369926
730,Q88KJ8,Q88KJ8_PSEPK,Pp_2292,Uncharacterized protein,0.021344992
731,Q88KS4,Q88KS4_PSEPK,Fadax,3-ketoacyl-CoA thiolase,0.0212671
732,Q88PR1,Q88PR1_PSEPK,Nadc,Nicotinate-nucleotide pyrophosphorylase,0.021202127
733,Q88L05,Q88L05_PSEPK,Pp_2132,Universal stress protein,0.021182047
734,Q88CM7,Q88CM7_PSEPK,Pp_5153,Fumarylacetoacetate hydrolase family protein,0.021096034
735,Q88D15,HIS3_PSEPK,Hisi,Phosphoribosyl-AMP cyclohydrolase,0.021081394
736,Q88KF9,Q88KF9_PSEPK,Pp_2331,Uncharacterized protein,0.020989239
737,Q88DT6,SSRP_PSEPK,Smpb,SsrA-binding protein,0.02094447
738,Q88N84,RSMH_PSEPK,Rsmh,Ribosomal RNA small subunit methyltransferase H,0.020928618
739,Q88DY6,Q88DY6_PSEPK,Pp_4682,"Lipoprotein, putative",0.020872526
740,Q88K50,Y2442_PSEPK,Pp_2442,UPF0502 protein PP_2442,0.020851853
741,Q88LM7,KDSB_PSEPK,Kdsb,3-deoxy-manno-octulosonate cytidylyltransferase,0.020823182
742,Q88GF6,Q88GF6_PSEPK,Pp_3768,Shikimate 5-dehydrogenase/quinate 5-dehydrogenase family protein,0.020642477
743,Q88EW0,Q88EW0_PSEPK,Flen,Site-determining protein,0.0205949
744,Q88PA1,Y949_PSEPK,Pp_0949,Nucleotide-binding protein PP_0949,0.020476826
745,Q88L39,RLMKL_PSEPK,Rlml,Ribosomal RNA large subunit methyltransferase K/L,0.020457674
746,Q88HH5,Q88HH5_PSEPK,Pp_3383,"Gluconate dehydrogenase, putative",0.020436247
747,Q88FT3,CYSG_PSEPK,Cysg,Siroheme synthase,0.02043012
748,P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,0.020394217
749,Q88F25,DNLJ_PSEPK,Liga,DNA ligase,0.020378102
750,Q88LE6,Q88LE6_PSEPK,Pp_1987,"Methlytransferase, UbiE/COQ5 family",0.020366337
751,Q88NV6,Q88NV6_PSEPK,Pp_1098,"ATP-binding protein, Mrp/Nbp35 family",0.020325197
752,Q88GU7,Q88GU7_PSEPK,Pp_3620,Uncharacterized protein,0.0203245
753,Q88DP7,Q88DP7_PSEPK,Pp_4776,"Transcriptional regulator, AsnC family",0.020285424
754,Q88DS8,Q88DS8_PSEPK,Hsdm,"Type I restriction-modification system, M subunit",0.020284575
755,Q88EF0,Q88EF0_PSEPK,Pp_4515,"Transcriptional regulator, MarR family",0.0202238
756,Q88QZ8,MSRA_PSEPK,Msra,Peptide methionine sulfoxide reductase MsrA,0.020083781
757,Q88G04,Q88G04_PSEPK,Pp_3922,"SohB protein, peptidase U7 family",0.020058305
758,Q88QT6,RSMA_PSEPK,Rsma,Ribosomal RNA small subunit methyltransferase A,0.019985745
759,Q88N24,Q88N24_PSEPK,Pp_1392,"NAD-binding protein, putative",0.019979916
760,Q88ER0,Q88ER0_PSEPK,Chev-3,Chemotaxis protein CheV,0.019934496
761,Q88R88,Q88R88_PSEPK,Pp_0245,S1 RNA binding domain protein,0.019925123
762,Q88LC9,Q88LC9_PSEPK,Pp_2006,Uncharacterized protein,0.019918691
763,Q88RL5,METN1_PSEPK,Metn1,Methionine import ATP-binding protein MetN 1,0.019851675
764,Q88KC6,Q88KC6_PSEPK,Pp_2364,Uncharacterized protein,0.019778198
765,Q88FS3,Q88FS3_PSEPK,Cspd,Cold-shock protein CspD,0.019773817
766,Q88EI4,ASTD_PSEPK,Astd,N-succinylglutamate 5-semialdehyde dehydrogenase,0.019637871
767,Q88DX1,Q88DX1_PSEPK,Pcnb,Poly(A) polymerase I,0.019526844
768,Q88NU3,Q88NU3_PSEPK,Pp_1111,"Synthetase, putative",0.019520818
769,Q88C98,Q88C98_PSEPK,Pp_5283,"Periplasmic dipeptide-binding protein, putative",0.019454975
770,Q88PA0,Q88PA0_PSEPK,Ptsn,"Phosphotransferase system, nitrogen regulatory IIA protein",0.01943089
771,Q88M43,MINE_PSEPK,Mine,Cell division topological specificity factor,0.019385284
772,Q88GE6,Q88GE6_PSEPK,Proc-1,Pyrroline-5-carboxylate reductase,0.019312564
773,Q88M20,FUMC_PSEPK,Fumc,Fumarate hydratase class II,0.019292153
774,Q88BX8,GLMS_PSEPK,Glms,Glutamine--fructose-6-phosphate aminotransferase [isomerizing],0.01924269
775,Q88C95,DUT_PSEPK,Dut,Deoxyuridine 5'-triphosphate nucleotidohydrolase,0.019232498
776,Q88F20,Q88F20_PSEPK,Xdhb,"Xanthine dehydrogenase, XdhB subunit",0.019214372
777,Q88NH4,Q88NH4_PSEPK,Pp_1235,AhpC/TSA family protein,0.019207775
778,Q88C05,Q88C05_PSEPK,Pp_5378,Cytochrome c family protein,0.019036848
779,Q88QK7,UVRA_PSEPK,Uvra,UvrABC system protein A,0.019033071
780,Q88DN4,LNT_PSEPK,Lnt,Apolipoprotein N-acyltransferase,0.019006859
781,Q88N90,Q88N90_PSEPK,Pp_1322,"Lipoprotein, putative",0.018998074
782,Q88P95,Q88P95_PSEPK,Pp_0957,Arabinose 5-phosphate isomerase,0.018952924
783,Q88RR2,FMT_PSEPK,Fmt,Methionyl-tRNA formyltransferase,0.018888137
784,Q88LZ7,Q88LZ7_PSEPK,Pp_1779,"Lipopolysaccharide ABC export system, ATP-binding protein",0.018817337
785,Q88CS7,TRMB_PSEPK,Trmb,tRNA (guanine-N(7)-)-methyltransferase,0.018807328
786,Q88RL7,Q88RL7_PSEPK,Pp_0112,"ABC transporter, periplasmic binding protein, putative",0.0187646
787,Q88N81,MURE_PSEPK,Mure,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",0.018710205
788,Q88IR7,Q88IR7_PSEPK,Pp_2932,Amidase family protein,0.018690616
789,Q88PT0,Q88PT0_PSEPK,Pp_0768,Response regulator/TPR domain protein,0.018673944
790,Q88MT7,Q88MT7_PSEPK,Pp_1481,"Betaine aldehyde dehydrogenase, putative",0.018615835
791,Q88KF3,Q88KF3_PSEPK,Pp_2337,Uncharacterized protein,0.018592594
792,Q88MG0,KDSA1_PSEPK,Kdsa1,2-dehydro-3-deoxyphosphooctonate aldolase 1,0.018432503
793,Q88EZ0,Q88EZ0_PSEPK,Pp_4310,"Hydantoin racemase, putative",0.018393913
794,Q88D37,Q88D37_PSEPK,Pilh,Type IV pili response regulator PilH,0.018368574
795,Q88KZ4,Q88KZ4_PSEPK,Nagz,Beta-hexosaminidase,0.01831544
796,Q88RP1,Q88RP1_PSEPK,Pp_0088,Uncharacterized protein,0.018229495
797,Q88RL3,Q88RL3_PSEPK,Pp_0116,"Lipoprotein, putative",0.018180342
798,Q88RD0,Q88RD0_PSEPK,Pp_0202,CBS domain protein,0.018150853
799,Q88QU6,TSAD_PSEPK,Tsad,tRNA N6-adenosine threonylcarbamoyltransferase,0.018067985
800,Q88LM0,Q88LM0_PSEPK,Pp_1910,Uncharacterized protein,0.018021872
801,Q88CN1,Q88CN1_PSEPK,Ilva-2,L-threonine dehydratase,0.017988171
802,Q88QA3,ADE_PSEPK,Pp_0591,Adenine deaminase,0.017909858
803,Q88PG2,Q88PG2_PSEPK,Pp_0888,Response regulator,0.017880457
804,Q88EG5,Q88EG5_PSEPK,Pp_4499,Sua5/YciO/YrdC/YwlC family protein,0.017879715
805,Q88NS1,Q88NS1_PSEPK,Pp_1134,Uncharacterized protein,0.017872364
806,Q88NA0,Q88NA0_PSEPK,Zape,Cell division protein ZapE,0.017863139
807,Q88PI0,Q88PI0_PSEPK,Pp_0870,"Glycine betaine/carnitine/choline ABC transporter, periplasmic binding protein, putative",0.017843343
808,Q88LY7,Q88LY7_PSEPK,Pp_1789,"Hydrolase, haloacid dehalogenase-like family",0.017821823
809,Q88NZ0,Q88NZ0_PSEPK,Metr-1,Transcriptional activator MetR,0.017813612
810,Q88PA9,Y941_PSEPK,Pp_0941,UPF0307 protein PP_0941,0.017794108
811,Q88NW8,RNT_PSEPK,Rnt,Ribonuclease T,0.017784777
812,Q88N41,Q88N41_PSEPK,Pcar,Pca regulon regulatory protein,0.017730818
813,Q88MQ2,Q88MQ2_PSEPK,Pp_1518,Uncharacterized protein,0.017674478
814,Q88M23,Q88M23_PSEPK,Pp_1752,Uncharacterized protein,0.017568231
815,Q88CJ8,Q88CJ8_PSEPK,Pp_5182,"Aminotransferase, class III",0.017529078
816,Q88RE5,HEM3_PSEPK,Hemc,Porphobilinogen deaminase,0.017469389
817,Q88GI1,Q88GI1_PSEPK,Pp_3742,Glutathione S-transferase family protein,0.017363925
818,Q88H35,Q88H35_PSEPK,Pp_3530,Uncharacterized protein,0.017273924
819,Q88QA2,Q88QA2_PSEPK,Pp_0592,"Oxidoreductase, short chain dehydrogenase/reductase family",0.017240694
820,Q88CG8,UBID_PSEPK,Ubid,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,0.017206042
821,Q88P94,Q88P94_PSEPK,Ttg2a,"Toluene tolerance ABC efflux transporter, ATP-binding protein",0.017113301
822,Q88LV6,Q88LV6_PSEPK,Pp_1821,Glutathione S-transferase family protein,0.017102188
823,Q88CW6,BETA_PSEPK,Beta,Oxygen-dependent choline dehydrogenase,0.017065414
824,Q88PB3,Q88PB3_PSEPK,Cafa,Cytoplasmic axial filament protein,0.017042814
825,Q88NZ6,Q88NZ6_PSEPK,Pp_1057,"Transcriptional regulator, PadR family",0.017035259
826,Q88N78,MURD_PSEPK,Murd,UDP-N-acetylmuramoylalanine--D-glutamate ligase,0.017007361
827,Q88NV4,DCD_PSEPK,Dcd,Deoxycytidine triphosphate deaminase,0.016948342
828,Q88LV0,Q88LV0_PSEPK,Prmb,50S ribosomal protein L3 glutamine methyltransferase,0.016945366
829,Q88NX8,GLPK_PSEPK,Glpk,Glycerol kinase,0.016902861
830,Q88QW8,Q88QW8_PSEPK,Biod,ATP-dependent dethiobiotin synthetase BioD,0.016902803
831,Q88GW4,Q88GW4_PSEPK,Pp_3603,"Transcriptional regulator, GntR family",0.016885533
832,Q88J22,Q88J22_PSEPK,Pp_2827,"Alcohol dehydrogenase, zinc-containing",0.016821255
833,Q88E14,TRMA_PSEPK,Trma,tRNA/tmRNA (uracil-C(5))-methyltransferase,0.016812827
834,Q88PQ4,Q88PQ4_PSEPK,Fruk,Phosphofructokinase,0.016797421
835,Q88I73,Q88I73_PSEPK,Pp_3128,"Exopolysaccharide biosynthesis/transport protein, putative",0.016740689
836,Q88MZ2,Q88MZ2_PSEPK,Nadb,L-aspartate oxidase,0.016727752
837,Q88M12,Q88M12_PSEPK,Pp_1763,"Oxidoreductase, short chain dehydrogenase/reductase family",0.016707131
838,Q88J56,Q88J56_PSEPK,Pp_2793,Acyl-CoA dehydrogenase family protein,0.016659094
839,Q88F33,APT_PSEPK,Apt,Adenine phosphoribosyltransferase,0.016634127
840,Q88LN4,Q88LN4_PSEPK,Pp_1895,"ABC transporter, ATP-binding protein",0.016622071
841,Q88FH4,Q88FH4_PSEPK,Nuoe,"NADH dehydrogenase I, E subunit",0.016533699
842,Q88EH0,Q88EH0_PSEPK,Pp_4493,"Oxidoreductase, putative",0.016498395
843,Q88GH0,Q88GH0_PSEPK,Pp_3754,Beta-ketothiolase,0.016464072
844,Q88P98,Q88P98_PSEPK,Lpta,Lipopolysaccharide export system protein LptA,0.016434308
845,Q88NZ7,Q88NZ7_PSEPK,Pp_1056,"Iron-chelator utilization protein, putative",0.016402574
846,Q88PT7,RSMC_PSEPK,Rsmc,Ribosomal RNA small subunit methyltransferase C,0.016362763
847,Q88EL4,Q88EL4_PSEPK,Pp_4448,Uncharacterized protein,0.016362442
848,Q88DM4,LIPB_PSEPK,Lipb,Octanoyltransferase,0.016290661
849,Q88Q58,Q88Q58_PSEPK,Pp_0640,Uncharacterized protein,0.016265562
850,Q88DB2,Q88DB2_PSEPK,Pare,DNA topoisomerase 4 subunit B,0.01625654
851,Q88F30,Q88F30_PSEPK,Dnax,"DNA polymerase III, gamma and tau subunits",0.016197647
852,Q88HE5,Q88HE5_PSEPK,Pp_3415,"Transcriptional regulator, LacI family",0.016197114
853,Q88N45,Q88N45_PSEPK,Pp_1371,Methyl-accepting chemotaxis transducer,0.016146508
854,Q88N17,Q88N17_PSEPK,Pp_1399,Uncharacterized protein,0.016039612
855,Q88PJ8,Q88PJ8_PSEPK,Pp_0852,"Transcriptional regulator, Cro/CI family",0.016034853
856,Q88CF0,Q88CF0_PSEPK,Pp_5231,"Hydrolase, haloacid dehalogenase-like family",0.015901559
857,Q88G25,Q88G25_PSEPK,Pp_3901,Uncharacterized protein,0.015894222
858,Q88JI6,Q88JI6_PSEPK,Pp_2663,Uncharacterized protein,0.015873176
859,Q88C70,Q88C70_PSEPK,Hupa,DNA-binding protein HU-alpha,0.015811755
860,Q88C18,Q88C18_PSEPK,Pp_5365,"Cyclopropane-fatty-acyl-phospholipid synthase, putative",0.015804692
861,Q88KV7,Q88KV7_PSEPK,Pp_2182,Uncharacterized protein,0.015788554
