Protein.Group,Protein.Names,Protein,Protein.Description,%_of protein_abundance_Top3-method,Rank
gdhA,Q88Q23_PSEPK,Gdha,Glutamate dehydrogenase,0.030772035,551.0
rpiA,RPIA_PSEPK,Rpia,Ribose-5-phosphate isomerase A,0.03073331622222222,552.0
PP_4944,Q88D83_PSEPK,Pp_4944,"Carbamoyltransferase, NodU family",0.030626899722222226,553.0
glmU,GLMU_PSEPK,Glmu,Bifunctional protein GlmU,0.030472527944444446,554.0
ubiE,UBIE_PSEPK,Ubie,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE,0.030429237388888888,555.0
gtsB,Q88P37_PSEPK,Pp_1016,"Sugar ABC transporter, permease protein",0.030345062000000003,556.0
PP_4379,Q88ES4_PSEPK,Pp_4379,3-oxoacyl-(Acyl-carrier-protein) synthase III,0.030342357555555557,557.0
ttgA,TTGA_PSEPK,Ttga,Probable efflux pump periplasmic linker TtgA,0.030337933277777777,558.0
gatB,GATB_PSEPK,Gatb,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,0.03017982338888889,559.0
fimV,Q88LE1_PSEPK,Pp_1993,Uncharacterized protein,0.02998946816666667,560.0
sbp-I,Q88EZ5_PSEPK,Pp_4305,Periplasmic thiosulfate-binding protein,0.02943757372222222,561.0
mpl,Q88QE7_PSEPK,Mpl,UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase,0.029393265611111108,562.0
codA,Q88I13_PSEPK,Coda,Cytosine deaminase,0.02934689861111111,563.0
hisB,HIS7_PSEPK,Hisb,Imidazoleglycerol-phosphate dehydratase,0.02933364388888889,564.0
gshA,GSH1_PSEPK,Gsha,Glutamate--cysteine ligase,0.029234271555555556,565.0
trx,Q88QI2_PSEPK,Trx-1,Thioredoxin,0.02919159161111111,566.0
proA,PROA_PSEPK,Proa,Gamma-glutamyl phosphate reductase,0.029184503944444447,567.0
PP_0658,Q88Q40_PSEPK,Pp_0658,Homocysteine S-methyltransferase family protein,0.029101883555555555,568.0
PP_5395,Q88BY9_PSEPK,Pp_5395,Uncharacterized protein,0.029084197500000002,569.0
PP_2396,Q88K95_PSEPK,Pp_2396,Uncharacterized protein,0.029038878722222224,570.0
glpE,GLPE_PSEPK,Glpe,Thiosulfate sulfurtransferase GlpE,0.02886203588888889,571.0
gloA,Q88GF8_PSEPK,Gloa,Lactoylglutathione lyase,0.028835511833333334,572.0
lepB,Q88MY6_PSEPK,Lepb,Signal peptidase I,0.028773732388888893,573.0
PP_2217,Q88KS2_PSEPK,Fadb1x,Enoyl-CoA hydratase/isomerase FadB1x,0.02876896238888889,574.0
dppA-III,Q88PG5_PSEPK,Pp_0885,"Dipeptide ABC transporter, periplasmic peptide-binding protein",0.02872946788888889,575.0
hisH,HIS5_PSEPK,Hish,Imidazole glycerol phosphate synthase subunit HisH,0.028689202111111107,576.0
nudF,Q88DA8_PSEPK,Pp_4919,MutT/nudix family protein,0.028494516611111114,577.0
PP_1826,Q88LV1_PSEPK,Pp_1826,"Hydrolase, isochorismatase family",0.028425672444444446,578.0
ddlB,DDLB_PSEPK,Ddlb,D-alanine--D-alanine ligase B,0.028357595611111112,579.0
ybiT,Q88IR3_PSEPK,Pp_2936,"ABC transporter, ATP-binding protein",0.028351125555555554,580.0
PP_4881,Q88DE5_PSEPK,Pp_4881,"Iron ABC transporter, periplasmic iron-binding protein, putative",0.02828331388888889,581.0
hemE,DCUP_PSEPK,Heme,Uroporphyrinogen decarboxylase,0.028099871222222222,582.0
PP_4104,Q88FJ1_PSEPK,Pp_4104,Glutathione S-transferase family protein,0.02801570622222222,583.0
acnA-I,Q88L24_PSEPK,Acna,Aconitate hydratase,0.027901800666666667,584.0
PP_3384,Q88HH4_PSEPK,Pp_3384,Uncharacterized protein,0.027838301888888885,585.0
PP_1720,Q88M54_PSEPK,Pp_1720,"Alcohol dehydrogenase, zinc-containing",0.027700770277777776,586.0
PP_4588,Q88E78_PSEPK,Pp_4588,Nitroreductase family protein,0.027670217611111114,587.0
PP_2320,Q88KH0_PSEPK,Pp_2320,Uncharacterized protein,0.027604038777777777,588.0
PP_5295,Q88C88_PSEPK,Pp_5295,Uncharacterized protein,0.027422022388888887,589.0
PP_2161,Q88KX8_PSEPK,Pp_2161,Uncharacterized protein,0.027395204555555556,590.0
thiD,Q88DP2_PSEPK,Thid,Phosphomethylpyrimidine kinase,0.0272454035,591.0
PP_0766,Q88PT2_PSEPK,Pp_0766,Uncharacterized protein,0.027235294333333333,592.0
fkpB,Q88Q90_PSEPK,Fkpb,Peptidyl-prolyl cis-trans isomerase,0.027229450166666665,593.0
thrB,Q88RK8_PSEPK,Thrb,Homoserine kinase,0.027174277833333333,594.0
PP_4981,Y4981_PSEPK,Pp_4981,UPF0312 protein PP_4981,0.02713917011111111,595.0
PP_2528,Q88JW9_PSEPK,Mety,O-acetylhomoserine sulfhydrylase,0.027088781444444446,596.0
PP_1423,Q88MZ5_PSEPK,Pp_1423,tRNA-modifying protein YgfZ,0.027077523722222222,597.0
prfC,RF3_PSEPK,Prfc,Peptide chain release factor 3,0.027068777333333335,598.0
cheA,Q88EW4_PSEPK,Chea,Histidine kinase,0.027024652944444442,599.0
hemF,HEM6_PSEPK,Hemf,Oxygen-dependent coproporphyrinogen-III oxidase,0.02700381061111111,600.0
PP_3382,Q88HH6_PSEPK,Pp_3382,"Gluconate dehydrogenase cytochrome c subunit, putative",0.026940852055555558,601.0
spuF,Q88CK1_PSEPK,Potg,Polyamine-transporting ATPase,0.026903334555555557,602.0
dfp,Q88C96_PSEPK,Coabc,Phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase,0.02687304738888889,603.0
pgi2,G6PI2_PSEPK,Pgi2,Glucose-6-phosphate isomerase 2,0.02686941907142857,604.0
rlmI,Q88CQ3_PSEPK,Pp_5127,Uncharacterized protein,0.026838385944444446,605.0
PP_4283,Q88F16_PSEPK,Pp_4283,"Transcriptional regulator, GntR family",0.026772255333333335,606.0
ydfG,Q88DG3_PSEPK,Pp_4862,"Oxidoreductase, short chain dehydrogenase/reductase family",0.02672252511111111,607.0
dxs,DXS_PSEPK,Dxs,1-deoxy-D-xylulose-5-phosphate synthase,0.02669837922222222,608.0
PP_2792,Q88J57_PSEPK,Pp_2792,Uncharacterized protein,0.026660945944444445,609.0
rfbD,Q88LZ2_PSEPK,Rmld,dTDP-4-dehydrorhamnose reductase,0.026650128944444445,610.0
PP_3431,Q88HC9_PSEPK,Pp_3431,ThiJ/PfpI family protein,0.02658267811111111,611.0
acnA-II,Q88KF4_PSEPK,Pp_2336,"Aconitate hydratase, putative",0.026581243055555554,612.0
hscA,HSCA_PSEPK,Hsca,Chaperone protein HscA homolog,0.02657227861111111,613.0
ptxS,Q88HH7_PSEPK,Ptxs,Transcriptional regulator PtxS,0.02653627238888889,614.0
proB,PROB_PSEPK,Prob,Glutamate 5-kinase,0.026501793833333332,615.0
amtB,Q88CE8_PSEPK,Amtb,Ammonium transporter,0.026484490444444442,616.0
kauB,Q88CA3_PSEPK,Pp_5278,Aldehyde dehydrogenase family protein,0.026482724222222222,617.0
metH,Q88KB5_PSEPK,Meth,5-methyltetrahydrofolate--homocysteine methyltransferase,0.026472176333333333,618.0
ugpQ,Q88KY7_PSEPK,Pp_2152,"Glycerophosphoryl diester phosphodiesterase, putative",0.026470555055555553,619.0
corC,Q88DN5_PSEPK,Pp_4789,"Metal ion transporter, putative",0.026418962,620.0
amgK,Q88QT3_PSEPK,Pp_0405,Uncharacterized protein,0.026388552722222222,621.0
era,ERA_PSEPK,Era,GTPase Era,0.026387300444444442,622.0
murF,Q88N80_PSEPK,Murf,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,0.026358569055555555,623.0
mqo2,MQO2_PSEPK,Mqo2,Probable malate:quinone oxidoreductase 2,0.02633900311111111,624.0
tal,TAL_PSEPK,Tal,Transaldolase,0.02633560738888889,625.0
fabZ,FABZ_PSEPK,Fabz,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,0.02630185877777778,626.0
fliY,Q88RA6_PSEPK,Pp_0227,"Cysteine ABC transporter, periplasmic cysteine-binding protein, putative",0.02619055138888889,627.0
folE1,GCH11_PSEPK,Fole1,GTP cyclohydrolase 1 1,0.02610091611111111,628.0
ppx,Q88CG5_PSEPK,Ppx,Exopolyphosphatase,0.02600844022222222,629.0
PP_5304,Q88C79_PSEPK,Pp_5304,"Lipoprotein, putative",0.0259955685,630.0
speA,SPEA_PSEPK,Spea,Biosynthetic arginine decarboxylase,0.02597417388888889,631.0
fabF,Q88LL4_PSEPK,Fabf,3-oxoacyl-[acyl-carrier-protein] synthase 2,0.02592599333333333,632.0
mupP,Q88M11_PSEPK,Pp_1764,Phosphoglycolate phosphatase,0.025903491,633.0
PP_3649,Q88GR9_PSEPK,Pp_3649,"Transcriptional regulator, GntR family",0.025759537666666665,634.0
elbB,Q88CG1_PSEPK,Elbb,Enhancing lycopene biosynthesis protein 2,0.02575550038888889,635.0
rhdA,Q88DC0_PSEPK,Rhda-2,Sulfurtransferase,0.02573188638888889,636.0
pyrH,PYRH_PSEPK,Pyrh,Uridylate kinase,0.02571528172222222,637.0
putA,Q88D80_PSEPK,Puta,Bifunctional protein PutA,0.025667243833333336,638.0
fadD-I,Q88EB7_PSEPK,Fadd,Long-chain-fatty-acid-CoA ligase,0.025657998333333334,639.0
puuD,Q88IA0_PSEPK,Pp_3099,Uncharacterized protein,0.025639325944444444,640.0
ftsH,Q88DV1_PSEPK,Ftsh,ATP-dependent zinc metalloprotease FtsH,0.025546050833333334,641.0
ispH,ISPH_PSEPK,Isph,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,0.02553322088888889,642.0
PP_1347,Q88N68_PSEPK,Pp_1347,Glutathione S-transferase family protein,0.025532257555555556,643.0
mucB,Q88MY9_PSEPK,Algn,Sigma factor algU regulatory protein AlgN,0.02548714261111111,644.0
algQ,Q88RE1_PSEPK,Pfra,Transcriptional regulator PfrA,0.0254640275,645.0
PP_2685,Q88JG4_PSEPK,Pp_2685,Uncharacterized protein,0.025400136722222223,646.0
gltR-II,Q88P41_PSEPK,Gltr-2,DNA-binding response regulator GltR,0.02539323922222222,647.0
PP_0925,Q88PC5_PSEPK,Pp_0925,Uncharacterized protein,0.02537218825,648.0
PP_1791,Q88LY5_PSEPK,Pp_1791,"Aldolase/synthase, putative",0.025317998166666668,649.0
cbpA,CBPA_PSEPK,Cbpa,Curved DNA-binding protein,0.025273608611111113,650.0
PP_1190,Q88NL7_PSEPK,Pp_1190,Uncharacterized protein,0.025252621222222223,651.0
fliN,Q88EU6_PSEPK,Flin,Flagellar motor switch protein FliN,0.025170877,652.0
fruB,Q88PQ5_PSEPK,Frub,"Phosphotransferase system, fructose-specific EI/HPr/EIIA components",0.02507492011111111,653.0
PP_2791,Q88J58_PSEPK,Pp_2791,Aminoglycoside phosphotransferase,0.024917523944444447,654.0
mnmA,MNMA_PSEPK,Mnma,tRNA-specific 2-thiouridylase MnmA,0.024907833444444444,655.0
astA-I,Q88EI3_PSEPK,Arug,Arginine N-succinyltransferase,0.02490341088888889,656.0
ureG,UREG_PSEPK,Ureg,Urease accessory protein UreG,0.024821229,657.0
zinU,Q88E29_PSEPK,Pp_4639,CobW/P47K family protein,0.024797349,658.0
uvrB,UVRB_PSEPK,Uvrb,UvrABC system protein B,0.02477379161111111,659.0
spuI,Q88CJ6_PSEPK,Pp_5184,"Glutamine synthetase, putative",0.024722049222222223,660.0
oxyR,Q88C74_PSEPK,Pp_5309,"Transcriptional regulator, LysR family",0.02469367572222222,661.0
rsmI,Q88N86_PSEPK,Rsmi,Ribosomal RNA small subunit methyltransferase I,0.024689479,662.0
PP_1646,Q88MC7_PSEPK,Pp_1646,"Thioredoxin, putative",0.024504520944444445,663.0
argF,OTC_PSEPK,Argf,Ornithine carbamoyltransferase,0.0244933695,664.0
mfd,Q88KZ1_PSEPK,Mfd,Transcription-repair-coupling factor,0.024474323555555556,665.0
pepP,Q88CI1_PSEPK,Pepp,Aminopeptidase P II,0.024417103166666666,666.0
uvrD,Q88C31_PSEPK,Uvrd,DNA helicase,0.024342449166666665,667.0
yhdZ,Q88NB2_PSEPK,Aapp,"General amino acid ABC transporter, ATP-binding protein",0.02431844372222222,668.0
mlaD,Q88P92_PSEPK,Ttg2c,"Toluene tolerance ABC transporter, periplasmic substrate-binding protein",0.024277927166666668,669.0
PP_1476,Q88MU2_PSEPK,Pp_1476,Uncharacterized protein,0.02421854472222222,670.0
gor,Q88GA5_PSEPK,Gor,Glutathione reductase,0.02421508727777778,671.0
phoQ,Q88NM0_PSEPK,Phoq,Histidine kinase,0.024197738611111113,672.0
parC,Q88DB5_PSEPK,Parc,DNA topoisomerase 4 subunit A,0.024109758888888888,673.0
cra,Q88PQ6_PSEPK,Frur,Fructose transport system repressor FruR,0.024033787555555557,674.0
lolA,LOLA_PSEPK,Lola,Outer-membrane lipoprotein carrier protein,0.024018015444444443,675.0
apeB,APEB_PSEPK,Apeb,Probable M18 family aminopeptidase 2,0.023916836166666663,676.0
dnaA,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,0.023916076666666668,677.0
lpxA,LPXA_PSEPK,Lpxa,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase,0.023807452444444446,678.0
PP_1908,Q88LM2_PSEPK,Pp_1908,"Peptidase, putative",0.023797240722222224,679.0
PP_1780,Q88LZ6_PSEPK,Pp_1780,"Mannosyltransferase, putative",0.02377347722222222,680.0
pdxJ,PDXJ_PSEPK,Pdxj,Pyridoxine 5'-phosphate synthase,0.023755973277777776,681.0
fadA,FADA_PSEPK,Fada,3-ketoacyl-CoA thiolase,0.023720331722222224,682.0
folP,Q88DV2_PSEPK,Folp,Dihydropteroate synthase,0.02370508461111111,683.0
PP_0287,Q88R47_PSEPK,Pp_0287,Uncharacterized protein,0.023666881944444447,684.0
PP_1756,Q88M19_PSEPK,Pp_1756,Uncharacterized protein,0.023608892722222222,685.0
cheZ,CHEZ_PSEPK,Chez,Protein phosphatase CheZ,0.023556608333333333,686.0
vacJ,Q88KX6_PSEPK,Vacj,VacJ lipoprotein,0.023529710555555555,687.0
bamE,Q88DT8_PSEPK,Omla,Outer membrane protein assembly factor BamE,0.023473303944444444,688.0
hisF,HIS6_PSEPK,Hisf,Imidazole glycerol phosphate synthase subunit HisF,0.023411600222222224,689.0
PP_0596,Q88Q98_PSEPK,Pp_0596,Beta-alanine--pyruvate transaminase,0.023376958333333333,690.0
PP_4931,Q88D96_PSEPK,Pp_4931,Uncharacterized protein,0.023362596,691.0
PP_5311,Q88C72_PSEPK,Pp_5311,Uncharacterized protein,0.023335113333333334,692.0
hrpA,Q88EC0_PSEPK,Hrpa,ATP-dependent helicase HrpA,0.02329771261111111,693.0
PP_4770,Q88DQ3_PSEPK,Pp_4770,Uncharacterized protein,0.023279015222222223,694.0
rpoN,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,0.023270695388888887,695.0
rlmB,RLMB_PSEPK,Rlmb,23S rRNA (guanosine-2'-O-)-methyltransferase RlmB,0.023225437166666668,696.0
glnE,GLNE_PSEPK,Glne,Glutamate-ammonia-ligase adenylyltransferase,0.023171358444444443,697.0
PP_1845,Q88LT2_PSEPK,Pp_1845,Enoyl-CoA hydratase/isomerase family protein,0.02303610111111111,698.0
PP_5324,Q88C59_PSEPK,Pp_5324,Response regulator,0.022984407388888888,699.0
yghU,Q88IR6_PSEPK,Pp_2933,Glutathione S-transferase family protein,0.022904915777777778,700.0
PP_2238,Q88KQ2_PSEPK,Pp_2238,"Peptidase, M24 family protein",0.022839771777777778,701.0
fliD,Q88ES7_PSEPK,Flid,Flagellar hook-associated protein 2,0.022811216222222222,702.0
rsmG,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,0.022740414222222224,703.0
pyrF,PYRF_PSEPK,Pyrf,Orotidine 5'-phosphate decarboxylase,0.022429902055555555,704.0
polA,Q88RK6_PSEPK,Pola,DNA polymerase I,0.022414146222222223,705.0
PP_4315,Q88EY5_PSEPK,Pp_4315,"Phenazine biosynthesis protein, PhzF family",0.022368662777777777,706.0
gcvP1,GCSP1_PSEPK,Gcvp1,Glycine dehydrogenase (decarboxylating) 1,0.022336861166666666,707.0
tldD,Q88PB0_PSEPK,Tldd,TldD protein,0.022275922777777776,708.0
pip,Q88D01_PSEPK,Pip,Proline iminopeptidase,0.02215470638888889,709.0
def1,DEF1_PSEPK,Def1,Peptide deformylase 1,0.022129637666666667,710.0
PP_4573,Q88E93_PSEPK,Pp_4573,"ATPase, AAA family",0.022104108166666667,711.0
cpsG,Q88LZ9_PSEPK,Xana,Phosphomannomutase,0.02208330088888889,712.0
secF,Q88PL4_PSEPK,Secf,Protein-export membrane protein SecF,0.02207711177777778,713.0
ppnP,Y4248_PSEPK,Pp_4248,UPF0345 protein PP_4248,0.022031198944444445,714.0
nspC,Q88IS0_PSEPK,Nspc,Carboxynorspermidine/carboxyspermidine decarboxylase,0.022016313055555556,715.0
murC,MURC_PSEPK,Murc,UDP-N-acetylmuramate--L-alanine ligase,0.021958159166666668,716.0
PP_3316,Q88HN7_PSEPK,Pp_3316,"Chaperone-associated ATPase, putative",0.021956806944444445,717.0
tolQ,Q88NI8_PSEPK,Tolq,Biopolymer transport protein TolQ,0.021764918777777777,718.0
hinT,Q88QR0_PSEPK,Pp_0428,HIT family protein,0.021755435055555557,719.0
topA,Q88KZ9_PSEPK,Topa,DNA topoisomerase 1,0.021754651166666666,720.0
pqqD1,PQQD1_PSEPK,Pqqd1,Coenzyme PQQ synthesis protein D 1,0.021750475499999998,721.0
parB,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,0.021722788333333333,722.0
PP_2187,Q88KV2_PSEPK,Pp_2187,Universal stress protein family,0.02172159422222222,723.0
nudE,Q88R74_PSEPK,Nude,ADP compound hydrolase,0.021624269833333334,724.0
spoT,Q88C81_PSEPK,Spot,"Guanosine-3',5'-bis(Diphosphate) 3'-pyrophosphohydrolase",0.02161346111111111,725.0
ptxB,Q88PM6_PSEPK,Pp_0824,"Phosphate ABC transporter, periplasmic phosphate-binding protein, putative",0.021391035555555556,726.0
ppkB,Q88PY6_PSEPK,Pp_0712,Uncharacterized protein,0.02136992561111111,727.0
PP_2292,Q88KJ8_PSEPK,Pp_2292,Uncharacterized protein,0.021344992111111113,728.0
PP_2215,Q88KS4_PSEPK,Fadax,3-ketoacyl-CoA thiolase,0.021267099833333334,729.0
nadC,Q88PR1_PSEPK,Nadc,Nicotinate-nucleotide pyrophosphorylase,0.02120212661111111,730.0
PP_2132,Q88L05_PSEPK,Pp_2132,Universal stress protein,0.02118204738888889,731.0
ycgM,Q88CM7_PSEPK,Pp_5153,Fumarylacetoacetate hydrolase family protein,0.02109603361111111,732.0
hisI,HIS3_PSEPK,Hisi,Phosphoribosyl-AMP cyclohydrolase,0.021081393777777777,733.0
PP_2331,Q88KF9_PSEPK,Pp_2331,Uncharacterized protein,0.020989238777777777,734.0
smpB,SSRP_PSEPK,Smpb,SsrA-binding protein,0.02094447027777778,735.0
rsmH,RSMH_PSEPK,Rsmh,Ribosomal RNA small subunit methyltransferase H,0.020928618,736.0
PP_4682,Q88DY6_PSEPK,Pp_4682,"Lipoprotein, putative",0.020872525833333336,737.0
PP_2442,Y2442_PSEPK,Pp_2442,UPF0502 protein PP_2442,0.020851852833333333,738.0
kdsB,KDSB_PSEPK,Kdsb,3-deoxy-manno-octulosonate cytidylyltransferase,0.020823181833333333,739.0
PP_3768,Q88GF6_PSEPK,Pp_3768,Shikimate 5-dehydrogenase/quinate 5-dehydrogenase family protein,0.020642477,740.0
PP_4342,Q88EW0_PSEPK,Flen,Site-determining protein,0.02059490038888889,741.0
PP_0949,Y949_PSEPK,Pp_0949,Nucleotide-binding protein PP_0949,0.020476826444444443,742.0
rlmL,RLMKL_PSEPK,Rlml,Ribosomal RNA large subunit methyltransferase K/L,0.020457673722222222,743.0
PP_3383,Q88HH5_PSEPK,Pp_3383,"Gluconate dehydrogenase, putative",0.020436246777777778,744.0
cysG,CYSG_PSEPK,Cysg,Siroheme synthase,0.02043012038888889,745.0
argA,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,0.02039421727777778,746.0
ligA,DNLJ_PSEPK,Liga,DNA ligase,0.020378101833333336,747.0
PP_1987,Q88LE6_PSEPK,Pp_1987,"Methlytransferase, UbiE/COQ5 family",0.02036633688888889,748.0
mrp,Q88NV6_PSEPK,Pp_1098,"ATP-binding protein, Mrp/Nbp35 family",0.020325197111111113,749.0
ycaO,Q88GU7_PSEPK,Pp_3620,Uncharacterized protein,0.020324500055555555,750.0
PP_4776,Q88DP7_PSEPK,Pp_4776,"Transcriptional regulator, AsnC family",0.020285423666666667,751.0
hsdM,Q88DS8_PSEPK,Hsdm,"Type I restriction-modification system, M subunit",0.020284574666666666,752.0
PP_4515,Q88EF0_PSEPK,Pp_4515,"Transcriptional regulator, MarR family",0.0202237995,753.0
msrA,MSRA_PSEPK,Msra,Peptide methionine sulfoxide reductase MsrA,0.02008378066666667,754.0
sohB,Q88G04_PSEPK,Pp_3922,"SohB protein, peptidase U7 family",0.020058305333333335,755.0
rsmA,RSMA_PSEPK,Rsma,Ribosomal RNA small subunit methyltransferase A,0.01998574527777778,756.0
PP_1392,Q88N24_PSEPK,Pp_1392,"NAD-binding protein, putative",0.019979915833333334,757.0
PP_4393,Q88ER0_PSEPK,Chev-3,Chemotaxis protein CheV,0.019934495611111113,758.0
yhgF,Q88R88_PSEPK,Pp_0245,S1 RNA binding domain protein,0.019925123166666666,759.0
PP_2006,Q88LC9_PSEPK,Pp_2006,Uncharacterized protein,0.019918691333333335,760.0
metN1,METN1_PSEPK,Metn1,Methionine import ATP-binding protein MetN 1,0.019851675111111113,761.0
PP_2364,Q88KC6_PSEPK,Pp_2364,Uncharacterized protein,0.019778198333333333,762.0
cspD,Q88FS3_PSEPK,Cspd,Cold-shock protein CspD,0.019773817,763.0
astD,ASTD_PSEPK,Astd,N-succinylglutamate 5-semialdehyde dehydrogenase,0.01963787061111111,764.0
pcnB,Q88DX1_PSEPK,Pcnb,Poly(A) polymerase I,0.01952684411111111,765.0
PP_1111,Q88NU3_PSEPK,Pp_1111,"Synthetase, putative",0.0195208175,766.0
dppA-IV,Q88C98_PSEPK,Pp_5283,"Periplasmic dipeptide-binding protein, putative",0.019454974666666666,767.0
ptsN,Q88PA0_PSEPK,Ptsn,"Phosphotransferase system, nitrogen regulatory IIA protein",0.019430890222222223,768.0
minE,MINE_PSEPK,Mine,Cell division topological specificity factor,0.019385283666666666,769.0
proC,Q88GE6_PSEPK,Proc-1,Pyrroline-5-carboxylate reductase,0.019312564055555554,770.0
fumC,FUMC_PSEPK,Fumc,Fumarate hydratase class II,0.0192921525,771.0
glmS,GLMS_PSEPK,Glms,Glutamine--fructose-6-phosphate aminotransferase [isomerizing],0.019242689833333337,772.0
dut,DUT_PSEPK,Dut,Deoxyuridine 5'-triphosphate nucleotidohydrolase,0.019232497944444444,773.0
xdhB,Q88F20_PSEPK,Xdhb,"Xanthine dehydrogenase, XdhB subunit",0.019214372444444447,774.0
PP_1235,Q88NH4_PSEPK,Pp_1235,AhpC/TSA family protein,0.019207775055555557,775.0
PP_5378,Q88C05_PSEPK,Pp_5378,Cytochrome c family protein,0.01903684775,776.0
uvrA,UVRA_PSEPK,Uvra,UvrABC system protein A,0.019033070944444445,777.0
lnt,LNT_PSEPK,Lnt,Apolipoprotein N-acyltransferase,0.019006859277777777,778.0
PP_1322,Q88N90_PSEPK,Pp_1322,"Lipoprotein, putative",0.018998073944444444,779.0
kdsD,Q88P95_PSEPK,Pp_0957,Arabinose 5-phosphate isomerase,0.018952924444444446,780.0
fmt,FMT_PSEPK,Fmt,Methionyl-tRNA formyltransferase,0.018888137055555556,781.0
PP_1779,Q88LZ7_PSEPK,Pp_1779,"Lipopolysaccharide ABC export system, ATP-binding protein",0.018817336722222223,782.0
trmB,TRMB_PSEPK,Trmb,tRNA (guanine-N(7)-)-methyltransferase,0.018807327888888888,783.0
metQ,Q88RL7_PSEPK,Pp_0112,"ABC transporter, periplasmic binding protein, putative",0.018764599833333333,784.0
murE,MURE_PSEPK,Mure,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",0.018710205388888887,785.0
PP_2932,Q88IR7_PSEPK,Pp_2932,Amidase family protein,0.018690615666666667,786.0
PP_0768,Q88PT0_PSEPK,Pp_0768,Response regulator/TPR domain protein,0.018673943777777778,787.0
patD,Q88MT7_PSEPK,Pp_1481,"Betaine aldehyde dehydrogenase, putative",0.018615835166666667,788.0
prpF,Q88KF3_PSEPK,Pp_2337,Uncharacterized protein,0.01859259411111111,789.0
kdsA1,KDSA1_PSEPK,Kdsa1,2-dehydro-3-deoxyphosphooctonate aldolase 1,0.018432503000000003,790.0
PP_4310,Q88EZ0_PSEPK,Pp_4310,"Hydantoin racemase, putative",0.018393913166666668,791.0
pilH,Q88D37_PSEPK,Pilh,Type IV pili response regulator PilH,0.018368573611111112,792.0
nagZ,Q88KZ4_PSEPK,Nagz,Beta-hexosaminidase,0.01831543988888889,793.0
PP_0088,Q88RP1_PSEPK,Pp_0088,Uncharacterized protein,0.01822949533333333,794.0
PP_0116,Q88RL3_PSEPK,Pp_0116,"Lipoprotein, putative",0.01818034177777778,795.0
PP_0202,Q88RD0_PSEPK,Pp_0202,CBS domain protein,0.018150852944444445,796.0
tsaD,TSAD_PSEPK,Tsad,tRNA N6-adenosine threonylcarbamoyltransferase,0.018067984833333335,797.0
PP_1910,Q88LM0_PSEPK,Pp_1910,Uncharacterized protein,0.018021872,798.0
ilvA-II,Q88CN1_PSEPK,Ilva-2,L-threonine dehydratase,0.017988170666666668,799.0
PP_0591,ADE_PSEPK,Pp_0591,Adenine deaminase,0.017909858222222224,800.0
regA,Q88PG2_PSEPK,Pp_0888,Response regulator,0.0178804565,801.0
yciO,Q88EG5_PSEPK,Pp_4499,Sua5/YciO/YrdC/YwlC family protein,0.017879714777777778,802.0
PP_1134,Q88NS1_PSEPK,Pp_1134,Uncharacterized protein,0.017872363666666665,803.0
zapE,Q88NA0_PSEPK,Zape,Cell division protein ZapE,0.017863138833333334,804.0
PP_0870,Q88PI0_PSEPK,Pp_0870,"Glycine betaine/carnitine/choline ABC transporter, periplasmic binding protein, putative",0.017843342555555555,805.0
PP_1789,Q88LY7_PSEPK,Pp_1789,"Hydrolase, haloacid dehalogenase-like family",0.017821823166666667,806.0
metR-I,Q88NZ0_PSEPK,Metr-1,Transcriptional activator MetR,0.017813612166666666,807.0
PP_0941,Y941_PSEPK,Pp_0941,UPF0307 protein PP_0941,0.017794107500000003,808.0
rnt,RNT_PSEPK,Rnt,Ribonuclease T,0.017784776833333335,809.0
pcaR,Q88N41_PSEPK,Pcar,Pca regulon regulatory protein,0.01773081838888889,810.0
PP_1518,Q88MQ2_PSEPK,Pp_1518,Uncharacterized protein,0.017674477666666667,811.0
PP_1752,Q88M23_PSEPK,Pp_1752,Uncharacterized protein,0.017568230777777777,812.0
spuC-II,Q88CJ8_PSEPK,Pp_5182,"Aminotransferase, class III",0.017529078166666667,813.0
hemC,HEM3_PSEPK,Hemc,Porphobilinogen deaminase,0.017469388611111112,814.0
PP_3742,Q88GI1_PSEPK,Pp_3742,Glutathione S-transferase family protein,0.01736392538888889,815.0
allE,Q88H35_PSEPK,Pp_3530,Uncharacterized protein,0.017273924166666666,816.0
PP_0592,Q88QA2_PSEPK,Pp_0592,"Oxidoreductase, short chain dehydrogenase/reductase family",0.01724069361111111,817.0
